file,difficulty,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,chord_density,duration_per_note,tempo_complexity,notes_per_second,hand_independence,odd_time_signature_count,consecutive_note_std,pitch_range,average_polyphony,tempo_change_count,max_polyphony,note_transitions
Chopin - Mazurka op68 n2 Drchew.csv,2.0,389538.4172259508,154.0284535406867,1546,23401,0.0660655527541558,14060.007442256236,32,44279,231,0.149417852522639,0.0007226902143228,0.0360940200516879,34.91497097947108,0.0,1,21.61360357622669,48.0,1.1765601217656012,14,5,10897.433333333332
Chopin - Mazurka op7 n1.csv,2.5,431313.7230580289,139.1098794042489,2458,151200,0.0162566137566137,29733.06958717202,33,450720,1379,0.5610252237591538,7.321618743343983e-05,0.068936062076494,5.453496627618033,0.3797780517879161,1,117.0939018566902,47.0,3.030826140567201,592,8,20733.366666666665
Chopin - Mazurka op7 n2.csv,2.0,437703.1279382136,137.0792123022471,2414,174240,0.0138544536271809,28127.10630280901,39,521760,1563,0.6474730737365368,7.474701011959522e-05,0.0642606929388438,4.626648267402637,0.5730897009966778,1,149.10655550632768,57.0,4.009966777408638,391,9,11479.999999999996
Chopin - Nocturne No.1 Opus.62.csv,3.5,455295.1051340128,131.78265991315553,2048,297208,0.0068907970175769,30350.933979949383,66,515960,470,0.2294921875,0.0001279168927823,0.066662113512105,3.969299945732227,0.0,0,190.54964001348657,71.0,1.3044585987261146,10,5,21711.88333333333
Chopin - Nocturne op09 n2.csv,2.5,1146708.7541316324,52.32366089804221,2596,10506,0.2470968970112316,536304.1288876588,59,41880,1346,0.5184899845916795,0.0014087870105062,0.4676899229689631,61.98662846227316,0.3657314629258517,0,8.002516157255943,67.0,2.6012024048096194,536,8,14202.850000000008
Chopin - Nocturne op09 n3.csv,3.5,782430.6422043378,76.6841132793091,4860,25408,0.1912783375314861,520716.3796221717,61,101632,2135,0.4393004115226337,0.0006002046599496,0.6655112306889722,47.81958438287153,0.2599508599508599,2,7.994643101322119,64.0,2.388206388206388,1475,6,33843.63333333334
Chopin - Nocturne No.15 in F Minor Opus.55 -1.csv,3.5,703943.4484155349,85.23411949503968,2912,19680,0.1479674796747967,363802.5469473188,61,78528,1381,0.4742445054945055,0.000776792991035,0.5168064959851258,37.08231458842705,0.3100436681222707,0,11.852083639061684,67.0,2.543231441048035,793,12,15557.3
Chopin - Nocturne op15 n2.csv,3.5,1066470.6656096857,56.260337892837285,2302,10008,0.2300159872102318,471248.4724233996,59,40032,975,0.4235447437011294,0.0014738209432454,0.4418766381670645,57.50399680255796,0.2290708371665133,0,7.624594801895374,74.0,2.1177552897884087,709,6,14545.666666666672
Chopin - Nocturne op15 n3.csv,2.5,424772.94641407306,141.25193354830884,2188,22176,0.0986652236652236,197758.9451751873,54,66432,1129,0.5159963436928702,0.0008128612716763,0.4655638897078202,32.9359344894027,0.4385245901639344,1,20.45305695693937,65.0,2.989071038251366,425,11,12055.56666666666
Chopin - Nocturne op27 n1.csv,3.5,743516.8044288079,80.69757084521285,3266,178800,0.0182662192393736,421373.39361420873,58,531600,1772,0.5425597060624617,0.0001091045899172,0.5667301547245062,6.143717080511663,0.2445980985306828,2,97.16592200675848,63.0,2.822817631806396,1322,11,22274.63333333333
Chopin - Nocturne op27 n2.csv,3.5,1277715.906611879,46.95879552685705,3662,113760,0.0321905766526019,222156.5904448116,65,339667,2077,0.5671764063353358,0.0001913638946379,0.1738700984273605,10.78114741791225,0.3524264120922832,0,53.58302491559713,69.0,2.913285600636436,1419,8,29030.08333333333
Chopin - Nocturne op32 n1.csv,3.0,1057205.71874114,56.75338199214867,2562,14264,0.1796130117779024,650156.4949583315,58,56864,1193,0.4656518345042935,0.0010199774901519,0.6149763318841112,45.05486775464266,0.3265306122448979,0,10.26907516404067,66.0,2.489795918367347,658,9,15815.666666666668
Schubert - Fantasie D760 2mov Wanderer.csv,3.5,921000.873178808,65.1465180406526,7562,216000,0.0350092592592592,215640.1645836229,69,643200,4881,0.6454641629198624,0.0001072761194029,0.234136764538938,11.7568407960199,0.4221218961625282,0,75.97264688608735,71.0,3.413995485327314,1138,16,42201.36309523808
Schubert - Fantasie D760 1mov Wanderer.csv,4.0,458171.4006541292,130.955358440833,9330,362880,0.0257109788359788,81060.86851930944,68,1084800,6302,0.6754555198285102,6.268436578171091e-05,0.1769225848745234,8.600663716814159,0.4705372616984402,0,89.16190647958761,68.0,4.042461005199307,1239,16,51017.57619047613
Schubert - Fantasie D760 3mov Wanderer.csv,4.5,477970.7405681314,125.53069656247592,7360,253440,0.029040404040404,59475.41139055759,73,759520,4800,0.6521739130434783,9.611333473772908e-05,0.1244331636699418,9.69033073520118,0.4576080853453116,1,75.56440040513199,73.0,4.132509825940483,1207,14,38828.7904761905
Schubert - Fantasie D760 3mov Wanderer.csv,4.5,477970.7405681314,125.53069656247592,7360,253440,0.029040404040404,59475.41139055759,73,759520,4800,0.6521739130434783,9.611333473772908e-05,0.1244331636699418,9.69033073520118,0.4576080853453116,1,75.56440040513199,73.0,4.132509825940483,1207,14,38828.7904761905
Schubert - Fantasie D760 4mov Wanderer.csv,4.5,416934.6799907578,143.90743413651754,7228,236160,0.0306063685636856,31585.67359111861,72,706747,4890,0.676535694521306,0.0001018752113556,0.0757568873661907,10.22713927331846,0.4811320754716981,0,72.60742669387497,72.0,3.788259958071279,986,12,46402.311904761926
Schubert - Fantasie D760 4mov Wanderer.csv,4.5,416934.6799907578,143.90743413651754,7228,236160,0.0306063685636856,31585.67359111861,72,706747,4890,0.676535694521306,0.0001018752113556,0.0757568873661907,10.22713927331846,0.4811320754716981,0,72.60742669387497,72.0,3.788259958071279,986,12,46402.311904761926
Schubert - Impromptus op90 D899 n1.csv,3.0,544499.2820001733,110.19298277050969,9946,98520,0.1009541209906618,55344.08528782945,61,418500,6477,0.6512165694751659,0.0001457586618876,0.1016421639428568,23.765830346475507,0.3173913043478261,0,24.464630862792035,63.0,4.324347826086957,1189,12,50400.46190476191
Schubert - Impromptus op90 D899 n2.csv,3.0,319051.3645340187,188.0574937757476,6286,408000,0.015406862745098,26289.705583204875,70,1224000,3850,0.6124721603563474,5.718954248366013e-05,0.0823996024013298,5.13562091503268,0.2991533396048918,1,105.3551585887472,71.0,2.956726246472248,720,11,33560.666666666635
Schubert - Impromptus op90 D899 n3.csv,3.0,478523.1655125594,125.3857792563341,5224,83760,0.0623686723973256,41825.11828355488,49,330480,2810,0.5379019908116386,0.0001482691842168,0.0874045841411979,15.807310578552409,0.1577704298535663,0,23.251878199780915,50.0,2.467642890883325,1617,10,18195.333333333336
Schubert - Impromptus op90 D899 n4.csv,3.0,434334.9877106199,138.1422213215197,11432,117480,0.0973101804562478,34775.59025726205,62,352440,7789,0.681333100069979,0.0001759164680512,0.0800662880984196,32.43672681874929,0.4487463126843657,1,20.972978621278795,65.0,4.215339233038348,791,12,31724.1
Schubert - Piano Sonata n04 D537 op164 1mov.csv,3.0,502721.286788089,119.35042652230412,12510,134640,0.0929144385026738,17977.794042224687,67,671040,8164,0.6525979216626698,9.984501669051024e-05,0.0357609564478275,18.642703862660944,0.5100525827404887,2,27.19016454920904,69.0,3.8694710794927314,41,14,53759.00476190481
Schubert - Piano Sonata n04 D537 op164 2mov.csv,3.0,851289.2078528682,70.4813351872893,6170,54240,0.1137536873156342,66904.3027711152,67,270000,3982,0.6453808752025932,0.0002481481481481,0.0785917431513809,22.85185185185185,0.3157894736842105,0,17.408856284705603,66.0,3.568536726431464,45,10,44180.833333333314
Schubert - Piano Sonata n04 D537 op164 3mov.csv,3.0,456142.001484781,131.53798554988336,5990,73620,0.0813637598478674,11817.594107643834,52,367320,3914,0.6534223706176961,0.0001415659370576,0.025907708716094,16.307306980289667,0.5189873417721519,16,33.89184845837235,60.0,3.6106088004822174,29,11,22072.34523809524
Schubert - Piano Sonata n09 D575 op147 1mov.csv,2.5,515369.7800416256,116.42126163306256,7894,99600,0.0792570281124497,39398.21605736589,64,496980,4000,0.5067139599695971,0.0001287778180208,0.076446500324842,15.883938991508712,0.329605467536502,6,28.448829269575256,63.0,2.4523143833488663,100,12,46547.09999999999
Schubert - Piano Sonata n09 D575 op147 2mov.csv,2.5,1057739.461207823,56.72474385278824,4210,30240,0.1392195767195767,123501.4969838973,61,150060,2412,0.5729216152019002,0.0004065040650406,0.1167598463641245,28.05544448887112,0.3016905071521456,1,14.45900383307036,63.0,2.7373211963589075,43,12,19184.716666666685
Schubert - Piano Sonata n09 D575 op147 3mov.csv,3.0,334547.08226068947,179.34695348275713,5680,107040,0.0530642750373692,7558.491663782421,49,523920,3418,0.6017605633802817,9.352572911894946e-05,0.0225932075470698,10.841349824400671,0.6099939061547837,10,42.60042630981522,53.0,3.461304082876295,37,12,22299.66666666669
Schubert - Piano Sonata n09 D575 op147 4mov.csv,2.5,439552.4359139094,136.50248547764068,5546,79620,0.0696558653604622,20376.096440780915,54,396780,3352,0.6043995672556798,0.0001360955693331,0.0463564634749783,13.977519028176824,0.5398773006134969,6,30.52124389558961,55.0,3.0931399888455102,45,12,22247.56666666668
Schubert - Piano Sonata n14 D784 op143 1mov.csv,3.5,417733.8960369164,143.63210783042996,10322,190080,0.0543034511784511,9301.571744907797,64,948900,7468,0.7235031970548343,6.744651701970703e-05,0.0222667392642846,10.877858573084623,0.6599029554477283,0,54.02785120208126,65.0,4.553153947948831,17,16,44438.21904761902
Schubert - Piano Sonata n14 D784 op143 2mov.csv,3.0,563056.5313601127,106.56123614278074,2576,32760,0.0786324786324786,24269.289657383662,64,162300,1483,0.5756987577639752,0.0003943314849044,0.0431027584366334,15.871842267406038,0.2729188619599578,1,32.91260965758996,69.0,2.714436248682824,35,13,15567.240476190482
Schubert - Piano Sonata n14 D784 op143 3mov.csv,3.5,325507.73902537255,184.3274147018764,6820,98040,0.069563443492452,19473.458541885357,69,488760,3832,0.5618768328445748,0.0001411735821261,0.0598248711388316,13.953678697111055,0.4904027098231088,5,28.975019639321665,75.0,2.566804666917576,46,16,25834.116666666665
Schubert - Piano Sonata n16 D845 op42 1mov.csv,3.0,317786.6029000699,188.8059454125805,10922,193080,0.0565672260203024,18763.828824446296,69,924120,7407,0.6781724958798755,7.46656278405402e-05,0.0590453740126568,11.818811409773623,0.5815199196518246,5,44.78180402235854,68.0,3.6565115500502174,43,16,47421.09523809524
Schubert - Piano Sonata n16 D845 op42 2mov.csv,3.5,1269252.9895378647,47.27189968789912,13486,55260,0.2440463264567499,61681.24415884839,71,275700,8372,0.6207919323743141,0.0002575262966993,0.0485964931083649,48.91548784911136,0.4851973684210526,24,9.784141849251585,71.0,3.168703007518797,67,12,65709.9714285715
Schubert - Piano Sonata n16 D845 op42 3mov.csv,2.5,302140.9198774081,198.58283354781815,8672,169800,0.0510718492343934,46673.38565437677,62,848280,6196,0.7144833948339483,7.308907436223888e-05,0.1544755529086038,10.22303956240864,0.5988088792636708,25,52.35341948614904,62.0,4.695181375203032,30,12,35758.5333333334
Schubert - Piano Sonata n16 D845 op42 4mov.csv,3.5,265195.6899408284,226.24802089878403,7790,126720,0.0614741161616161,47527.05232311927,70,627360,4976,0.6387676508344031,0.0001115786789084,0.1792150254543115,12.4171129813823,0.4772243507875692,0,30.11916423369634,74.0,3.316304810557684,11,14,55501.98095238095
Schubert - Piano Sonata n17 D850 op53 1mov.csv,4.0,353773.4118385538,169.600082968873,15052,173760,0.0866252302025782,13828.012561583912,69,857760,8288,0.5506245017273452,8.044208170117515e-05,0.0390872012956541,17.5480320835665,0.498723268432812,0,23.363222662523132,71.0,2.4021704436642195,2,12,78643.4428571429
Schubert - Piano Sonata n17 D850 op53 2mov.csv,3.5,849366.6002925581,70.6408751878558,10236,75420,0.135719968178202,76856.61276714817,67,375780,7434,0.7262602579132473,0.0001782958113789,0.0904869731640913,27.23934216828996,0.5677725118483412,10,21.527747787728757,68.0,4.851184834123223,45,16,44615.60476190475
Schubert - Piano Sonata n17 D850 op53 3mov.csv,3.0,353545.7211011819,169.70930892083544,12916,170910,0.0755719384471359,26794.72903928891,59,850710,9222,0.7139981418395788,6.935383385642581e-05,0.0757885824663127,15.182612171010096,0.6105435226808337,30,39.4806177019022,60.0,5.278299959133633,55,16,40177.1047619048
Schubert - Piano Sonata n17 D850 op53 4mov.csv,3.5,474706.5157527914,126.39388339730658,11970,111360,0.107489224137931,49192.23801680045,65,551520,6798,0.5679197994987468,0.0001178561067595,0.1036266332658004,21.703655352480418,0.4036516160868492,0,18.39226723840102,69.0,2.953367875647668,18,13,71423.80952380948
Schubert - Piano Sonata n18 D894 1mov.csv,3.5,689781.3148148148,86.98409004614479,15568,171360,0.0908496732026143,145931.54748456588,71,513365,10101,0.6488309352517986,0.0001383031566234,0.2115620477828455,30.325402004421804,0.4899074852817494,0,31.02739049739378,72.0,3.2733389402859547,3554,12,67632.82857142854
Schubert - Piano Sonata n18 D894 2mov.csv,3.5,1609789.7243760482,37.271948684637,6678,36480,0.1830592105263158,275534.82298316783,65,109255,4170,0.6244384546271339,0.000594938446753,0.1711619963843195,61.12306072948607,0.4594315245478036,1,12.095638165246744,65.0,3.4511627906976745,2880,10,36239.51428571427
Schubert - Piano Sonata n18 D894 3mov.csv,2.5,427913.8135184068,140.21515105265254,5458,77392,0.0705240851767624,102795.1227676824,53,231892,3775,0.6916452913155002,0.0002285546720024,0.2402238944391092,23.53681886395391,0.599388379204893,1,34.97360589539788,60.0,4.172782874617737,2389,12,15384.188095238093
Schubert - Piano Sonata n18 D894 4mov.csv,3.5,391550.3359393509,153.23700299236543,12930,197760,0.065382281553398,94080.48845309897,64,592770,7187,0.5558391337973705,0.0001079676771766,0.2402768681768454,21.81284477959411,0.3652869972666927,0,27.53121873979179,68.0,2.5244045294806714,2644,10,81041.13333333335
Schubert - Piano Sonata n19 D958 1mov.csv,3.5,543505.9284026464,110.39438001410372,13238,133920,0.0988500597371565,129828.94777150558,70,401170,7915,0.5978999848919776,0.0001744896178677,0.2388731032853135,32.99847944761572,0.3669467787114845,1,20.507998611254298,71.0,2.852402499461323,2647,11,89690.8428571429
Schubert - Piano Sonata n19 D958 2mov.csv,3.5,1935476.8333756344,31.000112719176776,5574,27960,0.1993562231759656,584557.0395318114,61,83610,3507,0.6291711517761034,0.0007295778016983,0.3020222352712404,66.66666666666667,0.2102236421725239,0,12.472276367170004,63.0,3.561661341853035,1823,14,17922.102380952376
Schubert - Piano Sonata n19 D958 3mov.csv,2.5,321243.05140673846,186.77446792158517,1739,138420,0.0125632134084669,84796.51291311988,55,415130,584,0.3358251868890167,0.0001324886180232,0.2639637263492298,4.189049213499386,0.4873035066505441,1,122.23883433602364,62.0,2.1027811366384523,1673,6,24734.966666666664
Schubert - Piano Sonata n19 D958 4mov.csv,4.0,241823.1102129113,248.11524401937208,7356,519840,0.0141505078485687,43822.74372959794,72,1555460,2564,0.3485589994562262,4.628855772568886e-05,0.18121817923446,4.729147647641212,0.5463143254520166,0,95.95501951600822,72.0,2.046175243393602,1830,8,93064.39999999988
Schubert - Piano Sonata n20 D959 1mov.csv,4.0,521704.3280190752,115.00767154418968,8078,464640,0.0173855027548209,153950.71279822502,68,1392740,2948,0.3649418172815053,4.882461909617014e-05,0.295091883524869,5.80007754498327,0.2961928934010152,0,85.41054894530527,71.0,2.050253807106599,2838,8,78598.3595238095
Schubert - Piano Sonata n20 D959 2mov.csv,3.5,1329039.4409983484,45.14538707363656,2218,72720,0.0305005500550055,461689.82536589366,70,217800,564,0.254283137962128,0.0003213957759412,0.3473860979017156,10.183654729109271,0.3664688427299703,1,43.53856126981316,70.0,1.64540059347181,526,8,30727.466666666674
Schubert - Piano Sonata n20 D959 3mov.csv,3.0,340366.1955802411,176.28072581566062,2924,214020,0.01366227455378,167263.9523875889,63,640920,1043,0.356703146374829,9.82961992136304e-05,0.4914235154946712,4.562191849216752,0.2887700534759358,1,98.79103959860936,68.0,1.9545454545454544,2079,5,42989.93333333329
Schubert - Piano Sonata n20 D959 4mov.csv,3.5,462942.9992091014,129.60558881440022,6875,382080,0.0179936139028475,121609.70356893874,70,1144560,1538,0.2237090909090909,6.115887327881456e-05,0.2626882872766162,6.006675054169288,0.2941579187585577,0,59.47268298523775,71.0,1.5689183021451392,1551,8,94736.20000000006
Schubert - Piano Sonata n21 D960 1mov.csv,3.5,681946.3052421549,87.98346664360089,21468,926907,0.0231608996371804,78717.295715625,70,2773947,12663,0.589854667411962,2.523480080909981e-05,0.1154303426978359,7.739152910996497,0.32205971968312,0,96.57902683243849,72.0,3.270566727605119,3661,14,86731.5904761907
Schubert - Piano Sonata n21 D960 2mov.csv,3.0,1208661.2022491056,49.64170264450499,4582,200160,0.0228916866506794,106415.63261727346,59,596913,2308,0.50371017023134,9.884187477907166e-05,0.0880442198518929,7.676160512503497,0.2480127186009539,1,77.08894422468803,60.0,2.428192898781134,805,10,29558.116666666665
Schubert - Piano Sonata n21 D960 3mov.csv,2.5,485244.12405819696,123.64910160726438,6296,226080,0.0278485491861288,40499.57261476349,57,677640,3862,0.613405336721728,8.411545953603683e-05,0.0834622628215612,9.291069004191016,0.4510416666666667,1,63.62042209135226,65.0,3.279166666666667,846,8,35583.23333333333
Schubert - Piano Sonata n21 D960 4mov.csv,3.5,447348.1305650102,134.1237302684572,11158,517440,0.0215638528138528,27700.775943843997,70,1551440,6244,0.5595984943538268,4.511937296962822e-05,0.0619221900153183,7.192028051358737,0.4378772635814889,0,85.27948359474449,72.0,2.806338028169014,2120,12,88359.16666666667
Schubert - Symphony D759 n8 1mov Unfinished.csv,3.0,637879.107842393,94.06171053782936,14576,425984,0.0342172475961538,85274.00794190746,72,5536688,4182,0.2869099890230516,1.3004164222365429e-05,0.1336836508572043,2.63262080146109,0.2930943595150237,2,103.4600488711352,71.0,1.9209277807063785,111,15,211308.06839826948
Schubert - Symphony D759 n8 2mov Unfinished.csv,3.0,808164.430472511,74.24231720383894,12854,45866,0.2802511664413727,202546.297177888,65,733486,4682,0.3642445931227633,8.861791499769593e-05,0.2506251073923965,17.524533528928977,0.2812773403324584,2,9.94811770832406,65.0,1.8743073782443864,110,18,89609.53571428575
Schubert - Symphony D759 n8 3mov Unfinished.csv,3.0,375000.0,160.0,396,1680,0.2357142857142857,0.0,29,23527,278,0.702020202020202,0.0012326263442002,0.0,16.831725251838314,0.6666666666666666,3,15.605726125805274,48.0,5.28,1,18,1589.428571428571
Schubert - Moments musicaux op94 D780 n1.csv,2.5,584405.4578890434,102.66844566566616,5298,220320,0.0240468409586056,42105.58244708272,51,659520,3627,0.6845979614949037,7.732896652110626e-05,0.0720485783948256,8.03311499272198,0.6401906274821286,1,104.29550948726552,64.0,4.208101667990468,536,12,25061.766666666663
Schubert - Moments musicaux op94 D780 n2.csv,2.5,814097.3525301205,73.70125920877513,3306,196584,0.0168172384324258,150333.48029985398,52,589704,2274,0.6878402903811253,8.817983259397935e-05,0.1846627799889471,5.6062024337633805,0.5963541666666666,1,163.29641888725774,58.0,4.3046875,648,12,10689.266666666674
Schubert - Moments musicaux op94 D780 n3.csv,2.5,655921.562938506,91.47435210271496,2116,74880,0.028258547008547,69792.7643836537,38,224640,1377,0.6507561436672968,0.0001691595441595,0.1064041317242027,9.41951566951567,0.5538461538461539,0,65.13986611786532,45.0,3.617094017094017,184,10,10107.86666666666
Schubert - Moments musicaux op94 D780 n4.csv,2.5,725919.5419538508,82.65378810233823,5306,265920,0.0199533694344163,246077.8785116542,50,662880,3507,0.6609498680738787,7.542843350229302e-05,0.3389878137862532,8.004465363263336,0.7146050670640834,0,82.66997681655515,56.0,3.953800298062593,1201,14,32816.933333333334
Schubert - Moments musicaux op94 D780 n5.csv,3.0,271458.08747697977,221.02859619199276,4648,243840,0.0190616797900262,9500.196058174562,52,668160,3368,0.7246127366609294,7.78256704980843e-05,0.0349969166381171,6.956417624521073,0.9111111111111112,0,110.7690575403351,63.0,5.738271604938272,426,12,8077.666666666669
Schubert - Moments musicaux op94 D780 n6.csv,2.5,481729.4276783789,124.55124506128011,3976,309120,0.0128623188405797,36531.309940051,54,917280,3053,0.7678571428571429,5.886970172684458e-05,0.0758336689458811,4.334554334554334,0.6527272727272727,1,239.77575150793584,57.0,7.229090909090909,513,14,8087.626190476188
Beethoven - Piano Sonata n01.csv,3.0,412404.2120420439,145.48832976973355,7332,1047240,0.0070012604560559,243963.899219478,59,5204040,1978,0.2697763229678123,1.133734560072559e-05,0.5915650036925577,1.40890538889017,0.3573091247672253,2,190.4320632561532,58.0,1.7067039106145252,1089,7,80712.94761904767
Beethoven - Piano Sonata n02.csv,3.5,642453.579725812,93.39196152600934,9340,1004640,0.0092968625577321,474586.58141133736,62,5015940,2375,0.2542826552462526,1.2360594424973186e-05,0.7387095291987986,1.862063740794348,0.3153409090909091,1,140.4386122987273,64.0,1.658380681818182,1300,7,83804.80714285727
Beethoven - Piano Sonata n03.csv,4.0,535688.611158203,112.00536795112193,11915,1438440,0.0082832791079224,428705.6738824103,63,7121160,3616,0.3034830046160302,8.846873262221324e-06,0.8002889457655507,1.6731824590375726,0.3877490336009515,1,168.9144675098042,63.0,1.771483794231341,1485,9,141975.81904761915
Beethoven - Piano Sonata n04.csv,3.5,374784.10594076966,160.0921678612548,12248,1593600,0.0076857429718875,115414.11843907836,63,7967040,3386,0.2764532984977139,7.907579226412821e-06,0.3079482737117946,1.5373338153191147,0.4196775156763213,3,203.67453392265855,64.0,1.8286055538966857,1412,7,133428.99047619032
Beethoven - Piano Sonata n05.csv,3.0,486747.1090204056,123.26729607239363,7229,1112160,0.0064999640339519,308515.1203007828,63,5543640,2122,0.2935399087010651,1.1364374310020132e-05,0.6338304112821123,1.3040168553513576,0.3704694721478959,1,229.43834021790693,63.0,1.7584529311603017,1083,11,78756.75454545445
