tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
2320,note_on,,,,,8,0,1,,,0,,,67,102
2320,note_on,,,,,0,0,1,,,0,,,55,97
2320,note_on,,,,,0,0,2,,,1,,,39,97
2390,note_off,,,,,70,0,1,,,0,,,67,64
2391,note_off,,,,,71,0,2,,,1,,,39,64
2393,note_off,,,,,3,0,1,,,0,,,55,64
2394,note_off,,,,,3,0,2,,,1,,,51,64
2400,note_on,,,,,0,0,1,,,0,,,55,99
2400,note_on,,,,,6,0,2,,,1,,,38,104
2400,note_on,,,,,0,0,2,,,1,,,50,102
2400,note_on,,,,,7,0,1,,,0,,,67,98
2511,note_off,,,,,111,0,2,,,1,,,38,64
2513,note_off,,,,,2,0,2,,,1,,,50,64
2633,note_off,,,,,233,0,1,,,0,,,67,64
2634,note_off,,,,,1,0,1,,,0,,,55,64
2640,note_on,,,,,6,0,1,,,0,,,67,101
2640,note_on,,,,,127,0,2,,,1,,,34,101
2640,note_on,,,,,0,0,2,,,1,,,46,97
2640,note_on,,,,,0,0,1,,,0,,,55,99
2751,note_off,,,,,111,0,2,,,1,,,46,64
2754,note_off,,,,,3,0,2,,,1,,,34,64
2871,note_off,,,,,231,0,1,,,0,,,55,64
2872,note_off,,,,,1,0,1,,,0,,,67,64
2880,note_on,,,,,126,0,2,,,1,,,31,102
2880,note_on,,,,,0,0,1,,,0,,,55,106
2880,note_on,,,,,0,0,2,,,1,,,43,101
2880,note_on,,,,,8,0,1,,,0,,,67,106
2953,note_off,,,,,73,0,1,,,0,,,55,64
2954,note_off,,,,,1,0,1,,,0,,,67,64
2960,note_on,,,,,0,0,1,,,0,,,55,102
2960,note_on,,,,,6,0,1,,,0,,,67,98
2992,note_off,,,,,112,0,2,,,1,,,31,64
2993,note_off,,,,,1,0,2,,,1,,,43,64
3034,note_off,,,,,0,0,1,,,0,,,67,64
3034,note_off,,,,,74,0,1,,,0,,,55,64
3040,note_on,,,,,0,0,1,,,0,,,55,101
3040,note_on,,,,,6,0,1,,,0,,,67,96
3110,note_off,,,,,70,0,1,,,0,,,55,64
3112,note_off,,,,,2,0,1,,,0,,,67,64
3120,note_on,,,,,8,0,1,,,0,,,67,104
3120,note_on,,,,,0,0,1,,,0,,,55,98
3191,note_off,,,,,71,0,1,,,0,,,55,64
3192,note_off,,,,,1,0,1,,,0,,,67,64
3200,note_on,,,,,0,0,1,,,0,,,55,101
3200,note_on,,,,,8,0,1,,,0,,,67,97
3271,note_off,,,,,71,0,1,,,0,,,55,64
3274,note_off,,,,,3,0,1,,,0,,,67,64
3280,note_on,,,,,0,0,1,,,0,,,55,96
3280,note_on,,,,,6,0,1,,,0,,,67,103
3353,note_off,,,,,73,0,1,,,0,,,67,64
3354,note_off,,,,,1,0,1,,,0,,,55,64
3360,note_on,,,,,0,0,1,,,0,,,55,98
3360,note_on,,,,,6,0,1,,,0,,,67,101
3434,note_off,,,,,74,0,1,,,0,,,55,64
3434,note_off,,,,,0,0,1,,,0,,,67,64
3440,note_on,,,,,0,0,1,,,0,,,55,97
3440,note_on,,,,,6,0,1,,,0,,,67,98
3511,note_off,,,,,71,0,1,,,0,,,55,64
3513,note_off,,,,,2,0,1,,,0,,,67,64
3520,note_on,,,,,7,0,1,,,0,,,67,96
3520,note_on,,,,,0,0,1,,,0,,,55,104
3591,note_off,,,,,71,0,1,,,0,,,55,64
3591,note_off,,,,,0,0,1,,,0,,,67,64
3600,note_on,,,,,0,0,1,,,0,,,55,99
3600,note_on,,,,,9,0,1,,,0,,,67,98
3670,note_off,,,,,70,0,1,,,0,,,55,64
3674,note_off,,,,,4,0,1,,,0,,,67,64
3680,note_on,,,,,6,0,1,,,0,,,67,104
3680,note_on,,,,,0,0,1,,,0,,,55,100
3750,note_off,,,,,70,0,1,,,0,,,55,64
3751,note_off,,,,,1,0,1,,,0,,,67,64
3760,note_on,,,,,9,0,1,,,0,,,67,104
3760,note_on,,,,,0,0,1,,,0,,,55,96
3830,note_off,,,,,70,0,1,,,0,,,55,64
3833,note_off,,,,,3,0,1,,,0,,,67,64
3840,note_on,,,,,0,0,1,,,0,,,55,107
3840,note_on,,,,,0,0,2,,,1,,,31,108
3840,note_on,,,,,847,0,2,,,1,,,43,102
3840,note_on,,,,,7,0,1,,,0,,,67,101
3910,note_off,,,,,70,0,1,,,0,,,67,64
3911,note_off,,,,,71,0,2,,,1,,,43,64
3912,note_off,,,,,1,0,2,,,1,,,31,64
3914,note_off,,,,,4,0,1,,,0,,,55,64
3920,note_on,,,,,8,0,2,,,1,,,45,97
3920,note_on,,,,,0,0,2,,,1,,,33,103
3920,note_on,,,,,0,0,1,,,0,,,55,102
3920,note_on,,,,,6,0,1,,,0,,,67,101
3991,note_off,,,,,71,0,1,,,0,,,55,64
3991,note_off,,,,,0,0,1,,,0,,,67,64
3992,note_off,,,,,72,0,2,,,1,,,45,64
3994,note_off,,,,,2,0,2,,,1,,,33,64
4000,note_on,,,,,9,0,1,,,0,,,67,96
4000,note_on,,,,,6,0,2,,,1,,,46,101
4000,note_on,,,,,0,0,1,,,0,,,55,99
4000,note_on,,,,,0,0,2,,,1,,,34,101
4072,note_off,,,,,72,0,1,,,0,,,67,64
4073,note_off,,,,,0,0,2,,,1,,,46,64
4073,note_off,,,,,73,0,2,,,1,,,34,64
4073,note_off,,,,,1,0,1,,,0,,,55,64
4080,note_on,,,,,0,0,2,,,1,,,36,100
4080,note_on,,,,,0,0,1,,,0,,,55,102
4080,note_on,,,,,7,0,1,,,0,,,67,97
4080,note_on,,,,,7,0,2,,,1,,,48,102
4152,note_off,,,,,72,0,2,,,1,,,48,64
4153,note_off,,,,,73,0,1,,,0,,,55,64
4154,note_off,,,,,1,0,1,,,0,,,67,64
4154,note_off,,,,,2,0,2,,,1,,,36,64
4160,note_on,,,,,0,0,2,,,1,,,38,100
4160,note_on,,,,,6,0,1,,,0,,,55,96
4160,note_on,,,,,6,0,2,,,1,,,50,98
4160,note_on,,,,,0,0,1,,,0,,,67,98
4231,note_off,,,,,71,0,1,,,0,,,67,64
4231,note_off,,,,,71,0,2,,,1,,,38,64
4232,note_off,,,,,1,0,1,,,0,,,55,64
4232,note_off,,,,,1,0,2,,,1,,,50,64
4240,note_on,,,,,0,0,1,,,0,,,67,100
4240,note_on,,,,,0,0,2,,,1,,,39,100
4240,note_on,,,,,8,0,1,,,0,,,55,101
4240,note_on,,,,,8,0,2,,,1,,,51,99
4310,note_off,,,,,70,0,2,,,1,,,39,64
4311,note_off,,,,,1,0,2,,,1,,,51,64
4312,note_off,,,,,72,0,1,,,0,,,67,64
4313,note_off,,,,,1,0,1,,,0,,,55,64
4320,note_on,,,,,0,0,2,,,1,,,50,106
4320,note_on,,,,,7,0,1,,,0,,,67,104
4320,note_on,,,,,9,0,2,,,1,,,38,100
4320,note_on,,,,,0,0,1,,,0,,,55,102
4392,note_off,,,,,72,0,1,,,0,,,67,64
4394,note_off,,,,,2,0,1,,,0,,,55,64
4400,note_on,,,,,6,0,1,,,0,,,67,99
4400,note_on,,,,,0,0,1,,,0,,,55,104
4433,note_off,,,,,113,0,2,,,1,,,50,64
4434,note_off,,,,,1,0,2,,,1,,,38,64
4470,note_off,,,,,70,0,1,,,0,,,55,64
4473,note_off,,,,,3,0,1,,,0,,,67,64
4480,note_on,,,,,7,0,1,,,0,,,55,103
4480,note_on,,,,,0,0,1,,,0,,,67,100
4551,note_off,,,,,71,0,1,,,0,,,67,64
4552,note_off,,,,,1,0,1,,,0,,,55,64
4560,note_on,,,,,126,0,2,,,1,,,34,96
4560,note_on,,,,,0,0,2,,,1,,,46,104
4560,note_on,,,,,0,0,1,,,0,,,55,98
4560,note_on,,,,,8,0,1,,,0,,,67,96
4633,note_off,,,,,0,0,1,,,0,,,67,64
4633,note_off,,,,,73,0,1,,,0,,,55,64
4640,note_on,,,,,7,0,1,,,0,,,67,100
4640,note_on,,,,,0,0,1,,,0,,,55,102
4671,note_off,,,,,111,0,2,,,1,,,46,64
4671,note_off,,,,,0,0,2,,,1,,,34,64
4711,note_off,,,,,71,0,1,,,0,,,55,64
4712,note_off,,,,,1,0,1,,,0,,,67,64
4720,note_on,,,,,0,0,1,,,0,,,55,103
4720,note_on,,,,,8,0,1,,,0,,,67,98
4790,note_off,,,,,70,0,1,,,0,,,67,64
4791,note_off,,,,,1,0,1,,,0,,,55,64
4800,note_on,,,,,129,0,2,,,1,,,31,102
4800,note_on,,,,,0,0,2,,,1,,,43,105
4800,note_on,,,,,9,0,1,,,0,,,55,104
4800,note_on,,,,,0,0,1,,,0,,,67,107
4872,note_off,,,,,72,0,1,,,0,,,55,64
4874,note_off,,,,,2,0,1,,,0,,,67,64
4880,note_on,,,,,0,0,1,,,0,,,55,101
4880,note_on,,,,,6,0,1,,,0,,,67,96
4911,note_off,,,,,111,0,2,,,1,,,43,64
4911,note_off,,,,,0,0,2,,,1,,,31,64
4952,note_off,,,,,72,0,1,,,0,,,67,64
4954,note_off,,,,,2,0,1,,,0,,,55,64
4960,note_on,,,,,6,0,1,,,0,,,67,96
4960,note_on,,,,,0,0,1,,,0,,,55,103
5031,note_off,,,,,71,0,1,,,0,,,55,64
5033,note_off,,,,,2,0,1,,,0,,,67,64
5040,note_on,,,,,0,0,1,,,0,,,55,100
5040,note_on,,,,,7,0,1,,,0,,,67,103
5110,note_off,,,,,70,0,1,,,0,,,67,64
5113,note_off,,,,,3,0,1,,,0,,,55,64
5120,note_on,,,,,7,0,1,,,0,,,55,96
5120,note_on,,,,,0,0,1,,,0,,,67,97
5190,note_off,,,,,70,0,1,,,0,,,67,64
5192,note_off,,,,,2,0,1,,,0,,,55,64
5200,note_on,,,,,0,0,1,,,0,,,55,99
5200,note_on,,,,,8,0,1,,,0,,,67,101
5272,note_off,,,,,72,0,1,,,0,,,55,64
5273,note_off,,,,,1,0,1,,,0,,,67,64
5280,note_on,,,,,0,0,1,,,0,,,67,106
5280,note_on,,,,,7,0,1,,,0,,,55,102
5350,note_off,,,,,70,0,1,,,0,,,55,64
5354,note_off,,,,,4,0,1,,,0,,,67,64
5360,note_on,,,,,0,0,1,,,0,,,55,104
5360,note_on,,,,,6,0,1,,,0,,,67,97
5430,note_off,,,,,70,0,1,,,0,,,67,64
5434,note_off,,,,,4,0,1,,,0,,,55,64
5440,note_on,,,,,6,0,1,,,0,,,55,103
5440,note_on,,,,,0,0,1,,,0,,,67,104
5511,note_off,,,,,71,0,1,,,0,,,67,64
5513,note_off,,,,,2,0,1,,,0,,,55,64
5520,note_on,,,,,0,0,1,,,0,,,55,104
5520,note_on,,,,,7,0,1,,,0,,,67,101
5590,note_off,,,,,70,0,1,,,0,,,55,64
5592,note_off,,,,,2,0,1,,,0,,,67,64
5600,note_on,,,,,8,0,1,,,0,,,55,101
5600,note_on,,,,,0,0,1,,,0,,,67,101
5673,note_off,,,,,73,0,1,,,0,,,67,64
5674,note_off,,,,,1,0,1,,,0,,,55,64
5680,note_on,,,,,6,0,1,,,0,,,67,103
5680,note_on,,,,,0,0,1,,,0,,,55,97
5750,note_off,,,,,70,0,1,,,0,,,67,64
5754,note_off,,,,,4,0,1,,,0,,,55,64
5760,note_on,,,,,6,0,1,,,0,,,69,107
5760,note_on,,,,,0,0,1,,,0,,,57,104
5760,note_on,,,,,0,0,2,,,1,,,48,101
5760,note_on,,,,,0,0,2,,,1,,,36,105
5760,note_on,,,,,0,0,1,,,0,,,67,107
5760,control_change,,,,,849,0,2,,,1,7,101,,
5760,control_change,,,,,0,0,1,,,0,7,101,,
5810,control_change,,,,,50,0,2,,,1,7,102,,
5810,control_change,,,,,50,0,1,,,0,7,102,,
5830,note_off,,,,,20,0,1,,,0,,,57,64
5832,note_off,,,,,2,0,1,,,0,,,67,64
5834,note_off,,,,,2,0,1,,,0,,,69,64
5840,note_on,,,,,0,0,1,,,0,,,67,102
5840,note_on,,,,,0,0,1,,,0,,,57,98
5840,note_on,,,,,6,0,1,,,0,,,69,99
5860,control_change,,,,,20,0,1,,,0,7,103,,
5860,control_change,,,,,50,0,2,,,1,7,103,,
5910,note_off,,,,,50,0,1,,,0,,,69,64
5911,control_change,,,,,1,0,1,,,0,7,104,,
5911,control_change,,,,,51,0,2,,,1,7,104,,
5912,note_off,,,,,1,0,1,,,0,,,57,64
5914,note_off,,,,,2,0,1,,,0,,,67,64
5920,note_on,,,,,0,0,1,,,0,,,67,103
5920,note_on,,,,,6,0,1,,,0,,,69,97
5920,note_on,,,,,0,0,1,,,0,,,57,103
5961,control_change,,,,,50,0,2,,,1,7,105,,
5961,control_change,,,,,41,0,1,,,0,7,105,,
5990,note_off,,,,,29,0,1,,,0,,,69,64
5992,note_off,,,,,2,0,1,,,0,,,57,64
5993,note_off,,,,,1,0,1,,,0,,,67,64
6000,note_on,,,,,7,0,1,,,0,,,69,102
6000,note_on,,,,,0,0,1,,,0,,,67,98
6000,note_on,,,,,0,0,1,,,0,,,57,96
6012,control_change,,,,,12,0,1,,,0,7,106,,
6012,control_change,,,,,51,0,2,,,1,7,106,,
6062,control_change,,,,,50,0,1,,,0,7,107,,
6062,control_change,,,,,50,0,2,,,1,7,107,,
6071,note_off,,,,,9,0,1,,,0,,,67,64
6072,note_off,,,,,1,0,1,,,0,,,57,64
6072,note_off,,,,,0,0,1,,,0,,,69,64
6080,note_on,,,,,8,0,1,,,0,,,67,100
6080,note_on,,,,,0,0,1,,,0,,,69,99
6080,note_on,,,,,0,0,1,,,0,,,57,96
6113,control_change,,,,,33,0,1,,,0,7,108,,
6113,control_change,,,,,51,0,2,,,1,7,108,,
6153,note_off,,,,,40,0,1,,,0,,,57,64
6153,note_off,,,,,0,0,1,,,0,,,67,64
6153,note_off,,,,,0,0,1,,,0,,,69,64
6160,note_on,,,,,0,0,1,,,0,,,57,100
6160,note_on,,,,,0,0,1,,,0,,,67,100
6160,note_on,,,,,7,0,1,,,0,,,69,99
6163,control_change,,,,,50,0,2,,,1,7,109,,
6163,control_change,,,,,3,0,1,,,0,7,109,,
6214,control_change,,,,,51,0,1,,,0,7,110,,
6214,control_change,,,,,51,0,2,,,1,7,110,,
6230,note_off,,,,,16,0,1,,,0,,,67,64
6231,note_off,,,,,1,0,1,,,0,,,57,64
6232,note_off,,,,,1,0,1,,,0,,,69,64
6240,note_on,,,,,0,0,1,,,0,,,57,103
6240,note_on,,,,,8,0,1,,,0,,,69,103
6240,note_on,,,,,0,0,1,,,0,,,67,103
6264,control_change,,,,,24,0,1,,,0,7,111,,
6264,control_change,,,,,50,0,2,,,1,7,111,,
6310,note_off,,,,,46,0,1,,,0,,,67,64
6312,note_off,,,,,2,0,1,,,0,,,57,64
6314,note_off,,,,,2,0,1,,,0,,,69,64
6315,control_change,,,,,1,0,1,,,0,7,112,,
6315,control_change,,,,,51,0,2,,,1,7,112,,
6320,note_on,,,,,0,0,1,,,0,,,67,101
6320,note_on,,,,,5,0,1,,,0,,,69,100
6320,note_on,,,,,0,0,1,,,0,,,57,98
6365,control_change,,,,,45,0,1,,,0,7,113,,
6365,control_change,,,,,50,0,2,,,1,7,113,,
6390,note_off,,,,,25,0,1,,,0,,,57,64
6392,note_off,,,,,2,0,1,,,0,,,67,64
6393,note_off,,,,,1,0,1,,,0,,,69,64
6400,note_on,,,,,7,0,1,,,0,,,57,101
6400,note_on,,,,,0,0,1,,,0,,,67,101
6400,note_on,,,,,0,0,1,,,0,,,69,104
6416,control_change,,,,,51,0,2,,,1,7,114,,
6416,control_change,,,,,16,0,1,,,0,7,114,,
6466,control_change,,,,,50,0,2,,,1,7,115,,
6466,control_change,,,,,50,0,1,,,0,7,115,,
6470,note_off,,,,,4,0,2,,,1,,,48,64
6472,note_off,,,,,6,0,1,,,0,,,69,64
6474,note_off,,,,,2,0,1,,,0,,,67,64
6474,note_off,,,,,0,0,1,,,0,,,57,64
6474,note_off,,,,,4,0,2,,,1,,,36,64
6480,note_on,,,,,0,0,1,,,0,,,57,102
6480,note_on,,,,,0,0,1,,,0,,,69,102
6480,note_on,,,,,6,0,2,,,1,,,49,97
6480,note_on,,,,,0,0,2,,,1,,,37,99
6480,note_on,,,,,6,0,1,,,0,,,67,97
6517,control_change,,,,,37,0,1,,,0,7,116,,
6517,control_change,,,,,37,0,2,,,1,7,116,,
6551,note_off,,,,,0,0,1,,,0,,,67,64
6551,note_off,,,,,34,0,1,,,0,,,57,64
6552,note_off,,,,,1,0,1,,,0,,,69,64
6560,note_on,,,,,0,0,1,,,0,,,57,98
6560,note_on,,,,,0,0,1,,,0,,,67,98
6560,note_on,,,,,8,0,1,,,0,,,69,96
6567,control_change,,,,,7,0,1,,,0,7,117,,
6567,control_change,,,,,50,0,2,,,1,7,117,,
6618,control_change,,,,,51,0,2,,,1,7,118,,
6618,control_change,,,,,51,0,1,,,0,7,118,,
6631,note_off,,,,,13,0,1,,,0,,,67,64
6632,note_off,,,,,1,0,1,,,0,,,57,64
6634,note_off,,,,,2,0,1,,,0,,,69,64
6640,note_on,,,,,6,0,1,,,0,,,67,96
6640,note_on,,,,,0,0,1,,,0,,,57,104
6640,note_on,,,,,0,0,1,,,0,,,69,98
6668,control_change,,,,,50,0,2,,,1,7,119,,
6668,control_change,,,,,28,0,1,,,0,7,119,,
6711,note_off,,,,,43,0,2,,,1,,,49,64
6711,note_off,,,,,0,0,1,,,0,,,67,64
6711,note_off,,,,,43,0,1,,,0,,,69,64
6712,note_off,,,,,1,0,2,,,1,,,37,64
6714,note_off,,,,,3,0,1,,,0,,,57,64
6719,control_change,,,,,7,0,2,,,1,7,120,,
6719,control_change,,,,,5,0,1,,,0,7,120,,
6720,note_on,,,,,1,0,1,,,0,,,70,100
6720,note_on,,,,,0,0,1,,,0,,,67,107
6720,control_change,,,,,0,0,1,,,0,7,119,,
6720,note_on,,,,,0,0,2,,,1,,,50,103
6720,control_change,,,,,1,0,2,,,1,7,119,,
6720,note_on,,,,,0,0,2,,,1,,,38,100
6720,note_on,,,,,0,0,1,,,0,,,58,103
6770,control_change,,,,,50,0,2,,,1,7,118,,
6770,control_change,,,,,50,0,1,,,0,7,118,,
6790,note_off,,,,,20,0,1,,,0,,,58,64
6792,note_off,,,,,2,0,1,,,0,,,67,64
6793,note_off,,,,,1,0,1,,,0,,,70,64
6800,note_on,,,,,0,0,1,,,0,,,58,96
6800,note_on,,,,,0,0,1,,,0,,,70,98
6800,note_on,,,,,7,0,1,,,0,,,67,103
6820,control_change,,,,,50,0,2,,,1,7,117,,
6820,control_change,,,,,20,0,1,,,0,7,117,,
6871,control_change,,,,,0,0,1,,,0,7,116,,
6871,control_change,,,,,51,0,2,,,1,7,116,,
6871,note_off,,,,,51,0,1,,,0,,,58,64
6873,note_off,,,,,2,0,1,,,0,,,67,64
6874,note_off,,,,,1,0,1,,,0,,,70,64
6880,note_on,,,,,0,0,1,,,0,,,70,99
6880,note_on,,,,,6,0,1,,,0,,,67,97
6880,note_on,,,,,0,0,1,,,0,,,58,97
6921,control_change,,,,,50,0,2,,,1,7,115,,
6921,control_change,,,,,41,0,1,,,0,7,115,,
6950,note_off,,,,,29,0,1,,,0,,,58,64
6952,note_off,,,,,2,0,1,,,0,,,67,64
6954,note_off,,,,,2,0,1,,,0,,,70,64
6960,note_on,,,,,0,0,1,,,0,,,70,99
6960,note_on,,,,,0,0,1,,,0,,,67,102
6960,note_on,,,,,6,0,1,,,0,,,58,102
6972,control_change,,,,,51,0,2,,,1,7,114,,
6972,control_change,,,,,12,0,1,,,0,7,114,,
7022,control_change,,,,,50,0,1,,,0,7,113,,
7022,control_change,,,,,50,0,2,,,1,7,113,,
7030,note_off,,,,,8,0,1,,,0,,,67,64
7032,note_off,,,,,2,0,1,,,0,,,70,64
7034,note_off,,,,,2,0,1,,,0,,,58,64
7040,note_on,,,,,0,0,1,,,0,,,70,99
7040,note_on,,,,,0,0,1,,,0,,,67,99
7040,note_on,,,,,6,0,1,,,0,,,58,103
7073,control_change,,,,,51,0,2,,,1,7,112,,
7073,control_change,,,,,33,0,1,,,0,7,112,,
7110,note_off,,,,,37,0,1,,,0,,,70,64
7112,note_off,,,,,2,0,1,,,0,,,58,64
7114,note_off,,,,,2,0,1,,,0,,,67,64
7120,note_on,,,,,6,0,1,,,0,,,67,101
7120,note_on,,,,,0,0,1,,,0,,,58,98
7120,note_on,,,,,0,0,1,,,0,,,70,100
7123,control_change,,,,,50,0,2,,,1,7,111,,
7123,control_change,,,,,3,0,1,,,0,7,111,,
7174,control_change,,,,,51,0,2,,,1,7,110,,
7174,control_change,,,,,51,0,1,,,0,7,110,,
7190,note_off,,,,,16,0,1,,,0,,,58,64
7193,note_off,,,,,0,0,1,,,0,,,67,64
7193,note_off,,,,,3,0,1,,,0,,,70,64
7200,note_on,,,,,7,0,1,,,0,,,69,106
7200,note_on,,,,,0,0,1,,,0,,,66,105
7200,note_on,,,,,0,0,1,,,0,,,57,102
7224,control_change,,,,,50,0,2,,,1,7,109,,
7224,control_change,,,,,24,0,1,,,0,7,109,,
7270,note_off,,,,,46,0,1,,,0,,,57,64
7270,note_off,,,,,0,0,1,,,0,,,66,64
