tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,note,velocity
328,note_on,,,,,0,0,1,,,,,,0,,80,0
348,note_on,,,,,20,0,1,,,,,,0,,75,56
360,note_on,,,,,12,0,1,,,,,,0,,68,0
372,note_on,,,,,12,0,1,,,,,,0,,72,45
384,note_on,,,,,12,0,1,,,,,,0,,75,0
387,note_on,,,,,3,0,1,,,,,,0,,80,58
387,note_on,,,,,0,0,1,,,,,,0,,77,55
388,note_on,,,,,1,0,1,,,,,,0,,72,0
409,note_on,,,,,21,0,1,,,,,,0,,75,44
430,note_on,,,,,21,0,1,,,,,,0,,77,0
435,note_on,,,,,5,0,1,,,,,,0,,72,49
436,note_on,,,,,1,0,1,,,,,,0,,75,0
442,note_on,,,,,6,0,1,,,,,,0,,80,0
451,note_on,,,,,9,0,1,,,,,,0,,72,0
452,note_on,,,,,1,0,1,,,,,,0,,68,50
474,note_on,,,,,22,0,1,,,,,,0,,75,51
489,note_on,,,,,15,0,1,,,,,,0,,68,0
508,note_on,,,,,19,0,1,,,,,,0,,72,41
517,note_on,,,,,9,0,1,,,,,,0,,75,0
520,note_on,,,,,3,0,1,,,,,,0,,77,43
524,note_on,,,,,4,0,1,,,,,,0,,80,43
525,note_on,,,,,1,0,1,,,,,,0,,72,0
542,note_on,,,,,17,0,1,,,,,,0,,75,53
553,note_on,,,,,11,0,1,,,,,,0,,80,0
574,note_on,,,,,0,0,1,,,,,,0,,72,46
574,note_on,,,,,21,0,1,,,,,,0,,75,0
584,note_on,,,,,10,0,1,,,,,,0,,77,0
590,note_on,,,,,6,0,1,,,,,,0,,68,49
597,note_on,,,,,7,0,1,,,,,,0,,72,0
614,note_on,,,,,17,0,1,,,,,,0,,75,60
630,note_on,,,,,16,0,1,,,,,,0,,68,0
645,note_on,,,,,15,0,1,,,,,,0,,72,43
667,note_on,,,,,22,0,1,,,,,,0,,75,0
667,note_on,,,,,0,0,1,,,,,,0,,77,49
671,note_on,,,,,4,0,1,,,,,,0,,66,73
672,note_on,,,,,1,0,1,,,,,,0,,80,56
676,note_on,,,,,4,0,1,,,,,,0,,72,0
690,control_change,,,,,14,0,1,,,,64,0,0,,,
699,note_on,,,,,9,0,1,,,,,,0,,75,61
724,note_on,,,,,25,0,1,,,,,,0,,72,50
734,note_on,,,,,10,0,1,,,,,,0,,75,0
740,note_on,,,,,6,0,1,,,,,,0,,77,0
751,note_on,,,,,11,0,1,,,,,,0,,68,61
756,note_on,,,,,5,0,1,,,,,,0,,72,0
760,control_change,,,,,4,0,1,,,,64,127,0,,,
761,note_on,,,,,1,0,1,,,,,,0,,80,0
774,note_on,,,,,13,0,1,,,,,,0,,75,52
792,note_on,,,,,18,0,1,,,,,,0,,68,0
804,note_on,,,,,12,0,1,,,,,,0,,72,40
814,note_on,,,,,10,0,1,,,,,,0,,75,0
816,note_on,,,,,2,0,1,,,,,,0,,77,51
817,note_on,,,,,1,0,1,,,,,,0,,80,57
819,note_on,,,,,2,0,1,,,,,,0,,66,0
824,note_on,,,,,5,0,1,,,,,,0,,65,71
826,note_on,,,,,2,0,1,,,,,,0,,72,0
836,note_on,,,,,10,0,1,,,,,,0,,75,53
864,note_on,,,,,28,0,1,,,,,,0,,72,49
867,note_on,,,,,3,0,1,,,,,,0,,65,0
872,note_on,,,,,5,0,1,,,,,,0,,75,0
884,note_on,,,,,12,0,1,,,,,,0,,68,62
888,note_on,,,,,4,0,1,,,,,,0,,62,78
889,note_on,,,,,1,0,1,,,,,,0,,72,0
901,note_on,,,,,0,0,1,,,,,,0,,77,0
901,note_on,,,,,12,0,1,,,,,,0,,80,0
907,note_on,,,,,6,0,1,,,,,,0,,75,56
926,control_change,,,,,19,0,1,,,,64,0,0,,,
927,note_on,,,,,1,0,1,,,,,,0,,68,0
933,note_on,,,,,6,0,1,,,,,,0,,72,32
951,note_on,,,,,18,0,1,,,,,,0,,75,0
952,note_on,,,,,1,0,1,,,,,,0,,62,0
953,note_on,,,,,1,0,1,,,,,,0,,80,61
954,note_on,,,,,1,0,1,,,,,,0,,77,50
956,note_on,,,,,2,0,1,,,,,,0,,65,74
965,note_on,,,,,9,0,1,,,,,,0,,72,0
977,note_on,,,,,12,0,1,,,,,,0,,75,61
988,control_change,,,,,11,0,1,,,,64,127,0,,,
1001,note_on,,,,,13,0,1,,,,,,0,,72,45
1006,note_on,,,,,5,0,1,,,,,,0,,65,0
1008,note_on,,,,,2,0,1,,,,,,0,,75,0
1013,note_on,,,,,5,0,1,,,,,,0,,63,72
1017,note_on,,,,,4,0,1,,,,,,0,,68,65
1026,note_on,,,,,9,0,1,,,,,,0,,72,0
1038,note_on,,,,,12,0,1,,,,,,0,,80,0
1039,note_on,,,,,1,0,1,,,,,,0,,75,65
1040,note_on,,,,,1,0,1,,,,,,0,,77,0
1058,note_on,,,,,18,0,1,,,,,,0,,68,0
1064,note_on,,,,,6,0,1,,,,,,0,,72,43
1070,note_on,,,,,6,0,1,,,,,,0,,63,0
1072,note_on,,,,,2,0,1,,,,,,0,,61,75
1080,note_on,,,,,8,0,1,,,,,,0,,75,0
1080,note_on,,,,,0,0,1,,,,,,0,,77,64
1081,note_on,,,,,1,0,1,,,,,,0,,80,68
1094,note_on,,,,,13,0,1,,,,,,0,,72,0
1104,note_on,,,,,10,0,1,,,,,,0,,75,56
1126,note_on,,,,,22,0,1,,,,,,0,,72,50
1128,control_change,,,,,2,0,1,,,,64,0,0,,,
1130,note_on,,,,,2,0,1,,,,,,0,,61,0
1131,note_on,,,,,1,0,1,,,,,,0,,59,63
1136,note_on,,,,,5,0,1,,,,,,0,,75,0
1142,note_on,,,,,6,0,1,,,,,,0,,68,62
1150,note_on,,,,,8,0,1,,,,,,0,,72,0
1156,control_change,,,,,6,0,1,,,,64,127,0,,,
1162,note_on,,,,,6,0,1,,,,,,0,,77,0
1164,note_on,,,,,2,0,1,,,,,,0,,80,0
1166,note_on,,,,,2,0,1,,,,,,0,,75,66
1182,control_change,,,,,16,0,1,,,,64,0,0,,,
1183,note_on,,,,,1,0,1,,,,,,0,,68,0
1194,note_on,,,,,11,0,1,,,,,,0,,61,52
1195,note_on,,,,,1,0,1,,,,,,0,,72,18
1197,control_change,,,,,2,0,1,,,,64,127,0,,,
1205,note_on,,,,,0,0,1,,,,,,0,,80,62
1205,note_on,,,,,8,0,1,,,,,,0,,75,0
1209,note_on,,,,,4,0,1,,,,,,0,,77,51
1212,note_on,,,,,3,0,1,,,,,,0,,59,0
1216,control_change,,,,,0,0,1,,,,64,0,0,,,
1216,note_on,,,,,4,0,1,,,,,,0,,72,0
1224,note_on,,,,,8,0,1,,,,,,0,,75,60
1229,control_change,,,,,5,0,1,,,,64,127,0,,,
1247,note_on,,,,,18,0,1,,,,,,0,,72,44
1255,note_on,,,,,8,0,1,,,,,,0,,61,0
1256,control_change,,,,,1,0,1,,,,64,0,0,,,
1258,note_on,,,,,2,0,1,,,,,,0,,75,0
1261,note_on,,,,,3,0,1,,,,,,0,,60,51
1263,note_on,,,,,2,0,1,,,,,,0,,68,60
1268,control_change,,,,,5,0,1,,,,64,127,0,,,
1272,note_on,,,,,4,0,1,,,,,,0,,72,0
1285,note_on,,,,,13,0,1,,,,,,0,,77,0
1288,note_on,,,,,3,0,1,,,,,,0,,80,0
1289,note_on,,,,,1,0,1,,,,,,0,,75,61
1292,control_change,,,,,3,0,1,,,,64,0,0,,,
1307,control_change,,,,,15,0,1,,,,64,127,0,,,
1309,note_on,,,,,2,0,1,,,,,,0,,68,0
1312,note_on,,,,,3,0,1,,,,,,0,,72,45
1323,control_change,,,,,11,0,1,,,,64,0,0,,,
1327,note_on,,,,,0,0,1,,,,,,0,,80,63
1327,note_on,,,,,4,0,1,,,,,,0,,75,0
1330,note_on,,,,,0,0,1,,,,,,0,,58,70
1330,note_on,,,,,3,0,1,,,,,,0,,77,57
1336,note_on,,,,,6,0,1,,,,,,0,,60,0
1336,control_change,,,,,0,0,1,,,,64,127,0,,,
1344,note_on,,,,,8,0,1,,,,,,0,,72,0
1348,note_on,,,,,4,0,1,,,,,,0,,75,52
1359,control_change,,,,,11,0,1,,,,64,0,0,,,
1369,control_change,,,,,10,0,1,,,,64,127,0,,,
1374,note_on,,,,,5,0,1,,,,,,0,,72,50
1386,note_on,,,,,12,0,1,,,,,,0,,75,0
1391,control_change,,,,,5,0,1,,,,64,0,0,,,
1392,note_on,,,,,1,0,1,,,,,,0,,58,0
1394,note_on,,,,,2,0,1,,,,,,0,,68,58
1396,note_on,,,,,2,0,1,,,,,,0,,55,68
1399,control_change,,,,,3,0,1,,,,64,127,0,,,
1400,note_on,,,,,1,0,1,,,,,,0,,72,0
1416,note_on,,,,,16,0,1,,,,,,0,,77,0
1416,note_on,,,,,0,0,1,,,,,,0,,80,0
1420,note_on,,,,,4,0,1,,,,,,0,,75,56
1422,control_change,,,,,2,0,1,,,,64,0,0,,,
1435,control_change,,,,,13,0,1,,,,64,127,0,,,
1440,note_on,,,,,0,0,1,,,,,,0,,72,41
1440,note_on,,,,,5,0,1,,,,,,0,,68,0
1454,control_change,,,,,14,0,1,,,,64,0,0,,,
1458,note_on,,,,,4,0,1,,,,,,0,,75,0
1462,control_change,,,,,4,0,1,,,,64,127,0,,,
1463,note_on,,,,,1,0,1,,,,,,0,,77,53
1464,note_on,,,,,0,0,1,,,,,,0,,80,53
1464,note_on,,,,,1,0,1,,,,,,0,,58,63
1467,note_on,,,,,3,0,1,,,,,,0,,55,0
1477,note_on,,,,,10,0,1,,,,,,0,,72,0
1484,note_on,,,,,7,0,1,,,,,,0,,75,57
1485,control_change,,,,,1,0,1,,,,64,0,0,,,
1491,control_change,,,,,6,0,1,,,,64,127,0,,,
1512,note_on,,,,,21,0,1,,,,,,0,,72,46
1516,control_change,,,,,4,0,1,,,,64,0,0,,,
1522,control_change,,,,,0,0,1,,,,64,127,0,,,
1522,note_on,,,,,6,0,1,,,,,,0,,75,0
1528,note_on,,,,,6,0,1,,,,,,0,,77,0
1529,note_on,,,,,1,0,1,,,,,,0,,56,57
1530,note_on,,,,,1,0,1,,,,,,0,,58,0
1532,note_on,,,,,2,0,1,,,,,,0,,68,57
1539,note_on,,,,,7,0,1,,,,,,0,,72,0
1547,control_change,,,,,8,0,1,,,,64,0,0,,,
1554,control_change,,,,,7,0,1,,,,64,127,0,,,
1555,note_on,,,,,1,0,1,,,,,,0,,80,0
1559,note_on,,,,,4,0,1,,,,,,0,,75,48
1577,note_on,,,,,18,0,1,,,,,,0,,68,0
1579,control_change,,,,,2,0,1,,,,64,0,0,,,
1584,note_on,,,,,5,0,1,,,,,,0,,72,44
1590,control_change,,,,,6,0,1,,,,64,127,0,,,
1599,note_on,,,,,9,0,1,,,,,,0,,56,0
1602,note_on,,,,,3,0,1,,,,,,0,,75,0
1604,note_on,,,,,2,0,1,,,,,,0,,77,52
1606,note_on,,,,,0,0,1,,,,,,0,,80,52
1606,note_on,,,,,2,0,1,,,,,,0,,54,53
1612,control_change,,,,,6,0,1,,,,64,0,0,,,
1614,note_on,,,,,2,0,1,,,,,,0,,72,0
1618,control_change,,,,,4,0,1,,,,64,127,0,,,
1628,note_on,,,,,10,0,1,,,,,,0,,75,42
1654,note_on,,,,,26,0,1,,,,,,0,,72,45
1667,note_on,,,,,13,0,1,,,,,,0,,75,0
1673,control_change,,,,,6,0,1,,,,64,0,0,,,
1675,note_on,,,,,2,0,1,,,,,,0,,54,0
1677,note_on,,,,,2,0,1,,,,,,0,,68,54
1682,note_on,,,,,5,0,1,,,,,,0,,72,0
1688,note_on,,,,,6,0,1,,,,,,0,,53,62
1703,note_on,,,,,15,0,1,,,,,,0,,77,0
1705,note_on,,,,,2,0,1,,,,,,0,,80,0
1707,note_on,,,,,2,0,1,,,,,,0,,75,59
1714,control_change,,,,,7,0,1,,,,64,127,0,,,
1731,note_on,,,,,17,0,1,,,,,,0,,68,0
1733,note_on,,,,,2,0,1,,,,,,0,,73,54
1741,control_change,,,,,8,0,1,,,,64,0,0,,,
1754,note_on,,,,,0,0,1,,,,,,0,,80,57
1754,note_on,,,,,13,0,1,,,,,,0,,77,60
1757,control_change,,,,,3,0,1,,,,64,127,0,,,
1759,note_on,,,,,2,0,1,,,,,,0,,75,0
1761,note_on,,,,,2,0,1,,,,,,0,,73,0
1764,note_on,,,,,3,0,1,,,,,,0,,56,65
1776,control_change,,,,,12,0,1,,,,64,0,0,,,
1778,note_on,,,,,2,0,1,,,,,,0,,75,62
1783,control_change,,,,,5,0,1,,,,64,127,0,,,
1801,note_on,,,,,18,0,1,,,,,,0,,73,62
1808,note_on,,,,,7,0,1,,,,,,0,,53,0
1812,note_on,,,,,0,0,1,,,,,,0,,77,0
1812,note_on,,,,,4,0,1,,,,,,0,,75,0
1819,note_on,,,,,7,0,1,,,,,,0,,68,69
1820,note_on,,,,,1,0,1,,,,,,0,,61,68
1822,note_on,,,,,2,0,1,,,,,,0,,73,0
1832,control_change,,,,,10,0,1,,,,64,0,0,,,
1835,control_change,,,,,0,0,1,,,,64,127,0,,,
1835,note_on,,,,,3,0,1,,,,,,0,,56,0
1837,note_on,,,,,2,0,1,,,,,,0,,80,0
1842,note_on,,,,,5,0,1,,,,,,0,,75,65
1862,control_change,,,,,20,0,1,,,,64,0,0,,,
1866,note_on,,,,,4,0,1,,,,,,0,,73,66
1867,note_on,,,,,1,0,1,,,,,,0,,68,0
1870,control_change,,,,,3,0,1,,,,64,127,0,,,
1881,note_on,,,,,11,0,1,,,,,,0,,80,62
1882,note_on,,,,,1,0,1,,,,,,0,,77,55
1884,note_on,,,,,2,0,1,,,,,,0,,63,71
1885,note_on,,,,,1,0,1,,,,,,0,,75,0
1889,note_on,,,,,4,0,1,,,,,,0,,73,0
1893,note_on,,,,,4,0,1,,,,,,0,,61,0
1895,control_change,,,,,2,0,1,,,,64,0,0,,,
1902,control_change,,,,,7,0,1,,,,64,127,0,,,
1903,note_on,,,,,1,0,1,,,,,,0,,75,62
1922,note_on,,,,,19,0,1,,,,,,0,,73,57
1930,control_change,,,,,8,0,1,,,,64,0,0,,,
1932,note_on,,,,,2,0,1,,,,,,0,,77,0
1932,control_change,,,,,0,0,1,,,,64,127,0,,,
1936,note_on,,,,,4,0,1,,,,,,0,,75,0
1943,note_on,,,,,7,0,1,,,,,,0,,68,69
1944,note_on,,,,,1,0,1,,,,,,0,,73,0
1952,note_on,,,,,8,0,1,,,,,,0,,63,0
1952,note_on,,,,,0,0,1,,,,,,0,,64,75
1962,control_change,,,,,10,0,1,,,,64,0,0,,,
1967,note_on,,,,,5,0,1,,,,,,0,,80,0
1969,note_on,,,,,2,0,1,,,,,,0,,75,56
1991,note_on,,,,,22,0,1,,,,,,0,,68,0
1993,note_on,,,,,2,0,1,,,,,,0,,73,59
2019,control_change,,,,,26,0,1,,,,64,127,0,,,
2020,note_on,,,,,0,0,1,,,,,,0,,80,56
2020,note_on,,,,,1,0,1,,,,,,0,,75,0
2021,note_on,,,,,1,0,1,,,,,,0,,73,0
2021,note_on,,,,,0,0,1,,,,,,0,,77,51
2042,note_on,,,,,21,0,1,,,,,,0,,75,52
2046,control_change,,,,,4,0,1,,,,64,0,0,,,
2062,control_change,,,,,16,0,1,,,,64,127,0,,,
2065,note_on,,,,,3,0,1,,,,,,0,,73,56
2070,note_on,,,,,5,0,1,,,,,,0,,75,0
2071,note_on,,,,,1,0,1,,,,,,0,,77,0
2082,control_change,,,,,11,0,1,,,,64,0,0,,,
2083,note_on,,,,,0,0,1,,,,,,0,,68,53
2083,note_on,,,,,1,0,1,,,,,,0,,73,0
2086,note_on,,,,,3,0,1,,,,,,0,,65,60
2089,note_on,,,,,3,0,1,,,,,,0,,64,0
2101,note_on,,,,,12,0,1,,,,,,0,,80,0
2112,note_on,,,,,11,0,1,,,,,,0,,75,49
2116,control_change,,,,,4,0,1,,,,64,127,0,,,
2119,note_on,,,,,3,0,1,,,,,,0,,73,49
2131,note_on,,,,,12,0,1,,,,,,0,,68,0
2143,control_change,,,,,12,0,1,,,,64,0,0,,,
2149,note_on,,,,,0,0,1,,,,,,0,,80,56
2149,note_on,,,,,6,0,1,,,,,,0,,75,0
2150,note_on,,,,,1,0,1,,,,,,0,,61,62
2152,note_on,,,,,2,0,1,,,,,,0,,65,0
2152,note_on,,,,,0,0,1,,,,,,0,,77,50
2153,note_on,,,,,1,0,1,,,,,,0,,73,0
2155,control_change,,,,,2,0,1,,,,64,127,0,,,
2168,note_on,,,,,13,0,1,,,,,,0,,75,51
2176,control_change,,,,,8,0,1,,,,64,0,0,,,
2184,control_change,,,,,8,0,1,,,,64,127,0,,,
2189,note_on,,,,,5,0,1,,,,,,0,,73,56
2202,note_on,,,,,13,0,1,,,,,,0,,75,0
2204,note_on,,,,,2,0,1,,,,,,0,,77,0
2208,note_on,,,,,4,0,1,,,,,,0,,58,75
2210,note_on,,,,,2,0,1,,,,,,0,,68,66
2214,note_on,,,,,4,0,1,,,,,,0,,73,0
2216,note_on,,,,,2,0,1,,,,,,0,,61,0
2230,note_on,,,,,14,0,1,,,,,,0,,80,0
2234,note_on,,,,,4,0,1,,,,,,0,,75,59
2246,note_on,,,,,12,0,1,,,,,,0,,73,60
2257,control_change,,,,,11,0,1,,,,64,0,0,,,
2258,note_on,,,,,1,0,1,,,,,,0,,68,0
2266,note_on,,,,,8,0,1,,,,,,0,,58,0
2268,control_change,,,,,0,0,1,,,,64,127,0,,,
2268,note_on,,,,,2,0,1,,,,,,0,,56,70
2270,note_on,,,,,2,0,1,,,,,,0,,80,63
2272,note_on,,,,,2,0,1,,,,,,0,,77,54
2273,note_on,,,,,1,0,1,,,,,,0,,75,0
2273,note_on,,,,,0,0,1,,,,,,0,,73,0
2289,note_on,,,,,16,0,1,,,,,,0,,75,63
2291,control_change,,,,,2,0,1,,,,64,0,0,,,
2298,control_change,,,,,7,0,1,,,,64,127,0,,,
2308,note_on,,,,,10,0,1,,,,,,0,,73,57
2320,note_on,,,,,12,0,1,,,,,,0,,77,0
2324,note_on,,,,,4,0,1,,,,,,0,,75,0
2330,note_on,,,,,6,0,1,,,,,,0,,68,65
2332,note_on,,,,,2,0,1,,,,,,0,,73,0
2333,note_on,,,,,1,0,1,,,,,,0,,61,69
2345,control_change,,,,,12,0,1,,,,64,0,0,,,
2347,control_change,,,,,2,0,1,,,,64,127,0,,,
2348,note_on,,,,,1,0,1,,,,,,0,,80,0
2355,note_on,,,,,7,0,1,,,,,,0,,75,61
2373,control_change,,,,,18,0,1,,,,64,0,0,,,
2376,note_on,,,,,3,0,1,,,,,,0,,73,58
2378,note_on,,,,,2,0,1,,,,,,0,,68,0
2380,note_on,,,,,2,0,1,,,,,,0,,56,0
2386,control_change,,,,,6,0,1,,,,64,127,0,,,
2395,note_on,,,,,9,0,1,,,,,,0,,65,70
2397,note_on,,,,,0,0,1,,,,,,0,,77,58
2397,note_on,,,,,2,0,1,,,,,,0,,75,0
2398,note_on,,,,,1,0,1,,,,,,0,,80,53
2401,note_on,,,,,3,0,1,,,,,,0,,73,0
2406,note_on,,,,,5,0,1,,,,,,0,,61,0
2419,note_on,,,,,13,0,1,,,,,,0,,65,0
2421,note_on,,,,,2,0,1,,,,,,0,,75,51
2422,control_change,,,,,1,0,1,,,,64,0,0,,,
2426,control_change,,,,,4,0,1,,,,64,127,0,,,
2444,note_on,,,,,18,0,1,,,,,,0,,77,0
2446,note_on,,,,,2,0,1,,,,,,0,,73,59
2448,note_on,,,,,2,0,1,,,,,,0,,80,0
2457,note_on,,,,,9,0,1,,,,,,0,,75,0
2464,note_on,,,,,7,0,1,,,,,,0,,73,0
2472,note_on,,,,,8,0,1,,,,,,0,,70,78
2478,control_change,,,,,6,0,1,,,,64,0,0,,,
2488,control_change,,,,,10,0,1,,,,64,127,0,,,
2492,note_on,,,,,4,0,1,,,,,,0,,75,44
2509,note_on,,,,,17,0,1,,,,,,0,,73,45
2514,note_on,,,,,5,0,1,,,,,,0,,70,0
2528,note_on,,,,,14,0,1,,,,,,0,,77,48
2532,note_on,,,,,4,0,1,,,,,,0,,80,58
2536,note_on,,,,,4,0,1,,,,,,0,,75,0
2538,note_on,,,,,2,0,1,,,,,,0,,73,0
2560,note_on,,,,,22,0,1,,,,,,0,,75,44
2585,note_on,,,,,25,0,1,,,,,,0,,80,0
2586,note_on,,,,,1,0,1,,,,,,0,,77,0
2586,note_on,,,,,0,0,1,,,,,,0,,73,52
2597,note_on,,,,,11,0,1,,,,,,0,,75,0
2605,note_on,,,,,8,0,1,,,,,,0,,73,0
2611,note_on,,,,,6,0,1,,,,,,0,,68,66
2626,control_change,,,,,15,0,1,,,,64,0,0,,,
2638,note_on,,,,,12,0,1,,,,,,0,,75,50
2656,note_on,,,,,18,0,1,,,,,,0,,73,53
2675,note_on,,,,,19,0,1,,,,,,0,,75,0
2677,note_on,,,,,2,0,1,,,,,,0,,77,49
2678,control_change,,,,,1,0,1,,,,64,127,0,,,
2679,note_on,,,,,1,0,1,,,,,,0,,80,49
2682,note_on,,,,,3,0,1,,,,,,0,,73,0
2696,note_on,,,,,14,0,1,,,,,,0,,68,0
2701,note_on,,,,,5,0,1,,,,,,0,,75,51
2722,note_on,,,,,21,0,1,,,,,,0,,77,0
2727,note_on,,,,,5,0,1,,,,,,0,,80,0
2730,note_on,,,,,3,0,1,,,,,,0,,73,51
2731,note_on,,,,,1,0,1,,,,,,0,,75,0
2753,note_on,,,,,22,0,1,,,,,,0,,73,0
2755,note_on,,,,,2,0,1,,,,,,0,,68,59
2782,note_on,,,,,27,0,1,,,,,,0,,75,53
2801,note_on,,,,,19,0,1,,,,,,0,,68,0
2809,note_on,,,,,8,0,1,,,,,,0,,72,37
2822,note_on,,,,,13,0,1,,,,,,0,,75,0
2825,note_on,,,,,3,0,1,,,,,,0,,77,55
2826,note_on,,,,,0,0,1,,,,,,0,,80,56
2826,note_on,,,,,1,0,1,,,,,,0,,66,70
2830,control_change,,,,,4,0,1,,,,64,0,0,,,
2831,note_on,,,,,1,0,1,,,,,,0,,72,0
2849,note_on,,,,,18,0,1,,,,,,0,,75,47
2864,note_on,,,,,15,0,1,,,,,,0,,80,0
2872,note_on,,,,,8,0,1,,,,,,0,,77,0
2875,note_on,,,,,3,0,1,,,,,,0,,72,42
2876,note_on,,,,,1,0,1,,,,,,0,,75,0
2886,control_change,,,,,10,0,1,,,,64,127,0,,,
2892,note_on,,,,,6,0,1,,,,,,0,,72,0
2893,note_on,,,,,1,0,1,,,,,,0,,68,59
2919,note_on,,,,,26,0,1,,,,,,0,,75,53
2934,note_on,,,,,15,0,1,,,,,,0,,68,0
2944,note_on,,,,,10,0,1,,,,,,0,,72,32
2956,note_on,,,,,12,0,1,,,,,,0,,75,0
2956,note_on,,,,,0,0,1,,,,,,0,,66,0
2961,note_on,,,,,5,0,1,,,,,,0,,80,56
2961,note_on,,,,,0,0,1,,,,,,0,,77,58
2962,note_on,,,,,1,0,1,,,,,,0,,65,76
2967,note_on,,,,,5,0,1,,,,,,0,,72,0
2973,control_change,,,,,6,0,1,,,,64,0,0,,,
2980,note_on,,,,,7,0,1,,,,,,0,,75,51
3000,control_change,,,,,20,0,1,,,,64,127,0,,,
3008,note_on,,,,,8,0,1,,,,,,0,,72,40
3017,note_on,,,,,9,0,1,,,,,,0,,75,0
3022,note_on,,,,,0,0,1,,,,,,0,,62,66
3022,note_on,,,,,5,0,1,,,,,,0,,65,0
3026,note_on,,,,,4,0,1,,,,,,0,,68,61
3031,note_on,,,,,5,0,1,,,,,,0,,72,0
3037,note_on,,,,,6,0,1,,,,,,0,,77,0
3043,note_on,,,,,6,0,1,,,,,,0,,80,0
3054,note_on,,,,,11,0,1,,,,,,0,,75,63
3061,note_on,,,,,7,0,1,,,,,,0,,62,0
3061,control_change,,,,,0,0,1,,,,64,0,0,,,
3067,note_on,,,,,6,0,1,,,,,,0,,68,0
3068,note_on,,,,,1,0,1,,,,,,0,,65,64
3072,note_on,,,,,4,0,1,,,,,,0,,72,43
3078,control_change,,,,,6,0,1,,,,64,127,0,,,
3084,note_on,,,,,0,0,1,,,,,,0,,80,71
3084,note_on,,,,,6,0,1,,,,,,0,,75,0
3084,note_on,,,,,0,0,1,,,,,,0,,63,74
3087,note_on,,,,,3,0,1,,,,,,0,,77,58
3091,note_on,,,,,4,0,1,,,,,,0,,65,0
3097,note_on,,,,,6,0,1,,,,,,0,,72,0
3101,control_change,,,,,4,0,1,,,,64,0,0,,,
3103,note_on,,,,,2,0,1,,,,,,0,,75,54
3116,control_change,,,,,13,0,1,,,,64,127,0,,,
3132,note_on,,,,,16,0,1,,,,,,0,,72,39
3133,control_change,,,,,1,0,1,,,,64,0,0,,,
3134,note_on,,,,,1,0,1,,,,,,0,,63,0
3142,note_on,,,,,8,0,1,,,,,,0,,75,0
3146,note_on,,,,,4,0,1,,,,,,0,,61,60
3147,control_change,,,,,1,0,1,,,,64,127,0,,,
3153,note_on,,,,,6,0,1,,,,,,0,,72,0
3153,note_on,,,,,0,0,1,,,,,,0,,68,63
3168,note_on,,,,,15,0,1,,,,,,0,,77,0
3172,note_on,,,,,4,0,1,,,,,,0,,80,0
