tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,key,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,2,,,,1,6,12,,
0,control_change,,,,,0,0,2,,,,1,100,2,,
0,control_change,,,,,0,0,4,,,,3,6,12,,
60,note_off,,,,,60,0,1,,,,0,,,61,64
60,note_on,,,,,0,0,1,,,,0,,,61,103
480,note_on,,,,,0,0,2,,,,1,,,53,97
480,note_on,,,,,480,0,2,,,,1,,,37,103
480,note_on,,,,,0,0,2,,,,1,,,44,91
480,note_on,,,,,0,0,2,,,,1,,,56,87
540,note_off,,,,,60,0,2,,,,1,,,37,64
540,note_off,,,,,0,0,2,,,,1,,,56,64
540,note_off,,,,,0,0,2,,,,1,,,53,64
540,note_on,,,,,0,0,2,,,,1,,,44,83
540,note_on,,,,,0,0,2,,,,1,,,53,107
540,note_on,,,,,0,0,2,,,,1,,,56,115
540,note_off,,,,,0,0,2,,,,1,,,44,64
540,note_on,,,,,0,0,2,,,,1,,,37,107
720,note_off,,,,,0,0,2,,,,1,,,56,64
720,note_off,,,,,180,0,2,,,,1,,,37,64
720,note_off,,,,,0,0,2,,,,1,,,53,64
720,note_off,,,,,0,0,2,,,,1,,,44,64
899,note_off,,,,,839,0,1,,,,0,,,61,64
960,note_on,,,,,61,0,1,,,,0,,,61,97
990,note_off,,,,,30,0,1,,,,0,,,61,64
990,note_on,,,,,0,0,1,,,,0,,,59,97
1020,note_on,,,,,0,0,1,,,,0,,,61,97
1020,note_off,,,,,30,0,1,,,,0,,,59,64
1050,note_on,,,,,0,0,1,,,,0,,,59,93
1050,note_off,,,,,30,0,1,,,,0,,,61,64
1440,note_on,,,,,0,0,2,,,,1,,,44,79
1440,note_on,,,,,0,0,2,,,,1,,,54,79
1440,note_on,,,,,0,0,2,,,,1,,,50,83
1440,note_on,,,,,720,0,2,,,,1,,,32,97
1500,note_on,,,,,0,0,2,,,,1,,,32,97
1500,note_off,,,,,0,0,2,,,,1,,,50,64
1500,note_off,,,,,0,0,2,,,,1,,,44,64
1500,note_on,,,,,0,0,2,,,,1,,,44,83
1500,note_on,,,,,0,0,2,,,,1,,,50,87
1500,note_on,,,,,0,0,2,,,,1,,,54,77
1500,note_off,,,,,60,0,2,,,,1,,,32,64
1500,note_off,,,,,0,0,2,,,,1,,,54,64
1649,note_off,,,,,599,0,1,,,,0,,,59,64
1680,note_off,,,,,0,0,2,,,,1,,,44,64
1680,note_off,,,,,180,0,2,,,,1,,,32,64
1680,note_off,,,,,0,0,2,,,,1,,,54,64
1680,note_on,,,,,31,0,1,,,,0,,,61,97
1680,note_off,,,,,0,0,2,,,,1,,,50,64
1740,note_off,,,,,60,0,1,,,,0,,,61,64
1740,note_on,,,,,0,0,1,,,,0,,,64,93
1800,note_on,,,,,0,0,1,,,,0,,,62,97
1800,note_off,,,,,60,0,1,,,,0,,,64,64
1860,note_on,,,,,0,0,1,,,,0,,,61,97
1860,note_off,,,,,60,0,1,,,,0,,,62,64
1920,note_off,,,,,60,0,1,,,,0,,,61,64
1920,note_on,,,,,0,0,1,,,,0,,,61,103
2400,note_on,,,,,720,0,2,,,,1,,,37,103
2400,note_on,,,,,0,0,2,,,,1,,,44,87
2400,note_on,,,,,0,0,2,,,,1,,,53,83
2400,note_on,,,,,0,0,2,,,,1,,,56,87
2460,note_off,,,,,60,0,2,,,,1,,,37,64
2460,note_on,,,,,0,0,2,,,,1,,,37,97
2460,note_on,,,,,0,0,2,,,,1,,,44,77
2460,note_on,,,,,0,0,2,,,,1,,,53,83
2460,note_on,,,,,0,0,2,,,,1,,,56,87
2460,note_off,,,,,0,0,2,,,,1,,,44,64
2460,note_off,,,,,0,0,2,,,,1,,,53,64
2460,note_off,,,,,0,0,2,,,,1,,,56,64
2640,note_off,,,,,0,0,2,,,,1,,,56,64
2640,note_off,,,,,0,0,2,,,,1,,,53,64
2640,note_off,,,,,180,0,2,,,,1,,,37,64
2640,note_off,,,,,0,0,2,,,,1,,,44,64
2880,note_on,,,,,0,0,1,,,,0,,,61,97
2880,note_off,,,,,960,0,1,,,,0,,,61,64
2910,note_off,,,,,30,0,1,,,,0,,,61,64
2910,note_on,,,,,0,0,1,,,,0,,,59,93
2940,note_off,,,,,30,0,1,,,,0,,,59,64
2940,note_on,,,,,0,0,1,,,,0,,,61,103
2970,note_on,,,,,0,0,1,,,,0,,,59,97
2970,note_off,,,,,30,0,1,,,,0,,,61,64
3360,note_on,,,,,0,0,2,,,,1,,,44,87
3360,note_on,,,,,0,0,2,,,,1,,,50,91
3360,note_on,,,,,0,0,2,,,,1,,,54,83
3360,note_on,,,,,720,0,2,,,,1,,,32,97
3420,note_on,,,,,0,0,2,,,,1,,,54,83
3420,note_off,,,,,0,0,2,,,,1,,,54,64
3420,note_off,,,,,0,0,2,,,,1,,,50,64
3420,note_off,,,,,0,0,2,,,,1,,,44,64
3420,note_off,,,,,60,0,2,,,,1,,,32,64
3420,note_on,,,,,0,0,2,,,,1,,,32,93
3420,note_on,,,,,0,0,2,,,,1,,,44,83
3420,note_on,,,,,0,0,2,,,,1,,,50,87
3540,note_on,,,,,570,0,1,,,,0,,,57,91
3569,note_off,,,,,29,0,1,,,,0,,,59,64
3600,note_off,,,,,180,0,2,,,,1,,,32,64
3600,note_off,,,,,0,0,2,,,,1,,,54,64
3600,note_off,,,,,31,0,1,,,,0,,,57,64
3600,note_off,,,,,0,0,2,,,,1,,,50,64
3600,note_on,,,,,0,0,1,,,,0,,,56,93
3600,note_off,,,,,0,0,2,,,,1,,,44,64
3660,note_off,,,,,60,0,1,,,,0,,,56,64
3660,note_on,,,,,0,0,1,,,,0,,,59,97
3720,note_off,,,,,60,0,1,,,,0,,,59,64
3720,note_on,,,,,0,0,1,,,,0,,,57,97
3780,note_on,,,,,0,0,1,,,,0,,,56,103
3780,note_off,,,,,60,0,1,,,,0,,,57,64
3840,note_off,,,,,60,0,1,,,,0,,,56,64
3840,note_on,,,,,0,0,1,,,,0,,,56,97
4320,note_on,,,,,0,0,2,,,,1,,,44,77
4320,note_on,,,,,0,0,2,,,,1,,,53,87
4320,note_on,,,,,720,0,2,,,,1,,,37,93
4320,note_on,,,,,0,0,2,,,,1,,,49,93
4380,note_on,,,,,0,0,2,,,,1,,,53,77
4380,note_on,,,,,0,0,2,,,,1,,,37,91
4380,note_off,,,,,0,0,2,,,,1,,,49,64
4380,note_off,,,,,0,0,2,,,,1,,,53,64
4380,note_on,,,,,0,0,2,,,,1,,,49,83
4380,note_on,,,,,0,0,2,,,,1,,,44,71
4380,note_off,,,,,0,0,2,,,,1,,,44,64
4380,note_off,,,,,60,0,2,,,,1,,,37,64
4560,note_off,,,,,180,0,2,,,,1,,,37,64
4560,note_off,,,,,0,0,2,,,,1,,,53,64
4560,note_off,,,,,0,0,2,,,,1,,,49,64
4560,note_off,,,,,0,0,2,,,,1,,,44,64
4800,note_on,,,,,0,0,1,,,,0,,,56,103
4800,note_off,,,,,960,0,1,,,,0,,,56,64
4860,note_off,,,,,60,0,1,,,,0,,,56,64
4860,note_on,,,,,0,0,1,,,,0,,,56,103
5280,note_on,,,,,720,0,2,,,,1,,,40,91
5280,note_on,,,,,0,0,2,,,,1,,,52,83
5280,note_on,,,,,0,0,2,,,,1,,,49,83
5280,note_on,,,,,0,0,2,,,,1,,,44,73
5340,note_on,,,,,0,0,2,,,,1,,,49,77
5340,note_on,,,,,0,0,2,,,,1,,,52,75
5340,note_off,,,,,0,0,2,,,,1,,,49,64
5340,note_off,,,,,60,0,2,,,,1,,,40,64
5340,note_off,,,,,0,0,2,,,,1,,,44,64
5340,note_on,,,,,0,0,2,,,,1,,,44,69
5340,note_off,,,,,0,0,2,,,,1,,,52,64
5340,note_on,,,,,0,0,2,,,,1,,,40,93
5459,note_off,,,,,599,0,1,,,,0,,,56,64
5460,note_on,,,,,1,0,1,,,,0,,,57,97
5520,note_off,,,,,60,0,1,,,,0,,,57,64
5520,note_off,,,,,0,0,2,,,,1,,,52,64
5520,note_off,,,,,0,0,2,,,,1,,,49,64
5520,note_off,,,,,0,0,2,,,,1,,,44,64
5520,note_off,,,,,180,0,2,,,,1,,,40,64
5520,note_on,,,,,0,0,1,,,,0,,,56,103
5580,note_off,,,,,60,0,1,,,,0,,,56,64
5580,note_on,,,,,0,0,1,,,,0,,,59,91
5640,note_on,,,,,0,0,1,,,,0,,,57,91
5640,note_off,,,,,60,0,1,,,,0,,,59,64
5700,note_on,,,,,0,0,1,,,,0,,,56,97
5700,note_off,,,,,60,0,1,,,,0,,,57,64
5760,note_off,,,,,60,0,1,,,,0,,,56,64
5760,note_on,,,,,0,0,1,,,,0,,,56,97
6240,note_on,,,,,0,0,2,,,,1,,,49,91
6240,note_on,,,,,720,0,2,,,,1,,,51,87
6240,note_on,,,,,0,0,2,,,,1,,,44,87
6300,note_on,,,,,0,0,2,,,,1,,,44,75
6300,note_off,,,,,60,0,2,,,,1,,,51,64
6300,note_off,,,,,0,0,2,,,,1,,,49,64
6300,note_on,,,,,0,0,2,,,,1,,,49,77
6300,note_off,,,,,0,0,2,,,,1,,,44,64
6300,note_on,,,,,0,0,2,,,,1,,,51,77
6480,note_off,,,,,0,0,2,,,,1,,,49,64
6480,note_off,,,,,180,0,2,,,,1,,,51,64
6720,note_on,,,,,240,0,2,,,,1,,,54,69
6720,note_on,,,,,0,0,2,,,,1,,,48,75
6720,note_on,,,,,0,0,2,,,,1,,,51,79
6760,set_tempo,,,,,6760,1,0,1016949,,,,,,,
6779,note_off,,,,,59,0,2,,,,1,,,44,64
6800,note_on,,,,,21,0,2,,,,1,,,45,73
6850,set_tempo,,,,,90,1,0,1052631,,,,,,,
6880,note_off,,,,,80,0,2,,,,1,,,45,64
6880,note_on,,,,,0,0,2,,,,1,,,44,83
6940,set_tempo,,,,,90,1,0,1071428,,,,,,,
6960,note_off,,,,,0,0,2,,,,1,,,48,64
6960,note_off,,,,,0,0,2,,,,1,,,51,64
6960,note_on,,,,,0,0,2,,,,1,,,47,79
6960,note_off,,,,,80,0,2,,,,1,,,54,64
6960,note_off,,,,,0,0,2,,,,1,,,44,64
7020,set_tempo,,,,,80,1,0,1090909,,,,,,,
7040,note_on,,,,,0,0,2,,,,1,,,45,83
7040,note_off,,,,,80,0,2,,,,1,,,47,64
7120,note_on,,,,,0,0,2,,,,1,,,44,87
7120,note_off,,,,,80,0,2,,,,1,,,45,64
7160,set_tempo,,,,,140,1,0,1111111,,,,,,,
7180,set_tempo,,,,,20,1,0,1132075,,,,,,,
7199,note_off,,,,,1439,0,1,,,,0,,,56,64
7200,note_off,,,,,80,0,2,,,,1,,,44,64
7200,note_on,,,,,0,0,2,,,,1,,,42,91
7220,set_tempo,,,,,40,1,0,1153846,,,,,,,
7280,note_off,,,,,80,0,2,,,,1,,,42,64
7280,note_on,,,,,0,0,2,,,,1,,,40,93
7290,set_tempo,,,,,70,1,0,1200000,,,,,,,
7360,note_off,,,,,80,0,2,,,,1,,,40,64
7360,note_on,,,,,0,0,2,,,,1,,,42,91
7420,set_tempo,,,,,130,1,0,1250000,,,,,,,
7440,note_off,,,,,80,0,2,,,,1,,,42,64
7440,note_on,,,,,0,0,2,,,,1,,,39,93
7520,note_off,,,,,80,0,2,,,,1,,,39,64
7520,note_on,,,,,0,0,2,,,,1,,,45,87
7550,set_tempo,,,,,130,1,0,1304347,,,,,,,
7600,set_tempo,,,,,50,1,0,1333333,,,,,,,
7640,note_on,,,,,0,0,2,,,,1,,,44,91
7640,note_off,,,,,120,0,2,,,,1,,,45,64
7670,note_off,,,,,30,0,2,,,,1,,,44,64
7680,note_on,,,,,10,0,2,,,,1,,,37,103
7760,set_tempo,,,,,160,1,0,750000,,,,,,,
8040,note_on,,,,,360,0,2,,,,1,,,44,91
8160,note_on,,,,,0,0,2,,,,1,,,49,91
8160,note_off,,,,,120,0,2,,,,1,,,44,64
8640,note_on,,,,,0,0,2,,,,1,,,37,103
8640,note_off,,,,,480,0,2,,,,1,,,37,64
8640,note_off,,,,,0,0,2,,,,1,,,49,64
9000,note_on,,,,,360,0,2,,,,1,,,44,97
9120,note_off,,,,,120,0,2,,,,1,,,44,64
9120,note_on,,,,,0,0,2,,,,1,,,49,91
9480,note_on,,,,,2281,0,1,,,,0,,,56,107
9540,note_off,,,,,60,0,1,,,,0,,,56,64
9540,note_on,,,,,0,0,1,,,,0,,,56,103
9600,note_off,,,,,480,0,2,,,,1,,,37,64
9600,note_off,,,,,0,0,2,,,,1,,,49,64
9600,note_off,,,,,60,0,1,,,,0,,,56,64
9600,note_on,,,,,0,0,1,,,,0,,,61,93
9600,note_on,,,,,0,0,2,,,,1,,,37,103
9720,note_off,,,,,120,0,1,,,,0,,,61,64
9960,note_on,,,,,360,0,2,,,,1,,,44,97
10080,note_on,,,,,0,0,1,,,,0,,,52,91
10080,note_on,,,,,0,0,2,,,,1,,,49,87
10080,note_on,,,,,360,0,1,,,,0,,,56,93
10080,note_on,,,,,0,0,1,,,,0,,,61,83
10080,note_off,,,,,120,0,2,,,,1,,,44,64
10320,note_off,,,,,0,0,1,,,,0,,,52,64
10320,note_off,,,,,240,0,1,,,,0,,,56,64
10560,note_off,,,,,480,0,2,,,,1,,,37,64
10560,note_on,,,,,0,0,2,,,,1,,,37,103
10560,note_off,,,,,0,0,2,,,,1,,,49,64
10679,note_off,,,,,359,0,1,,,,0,,,61,64
10680,note_on,,,,,1,0,1,,,,0,,,60,103
10800,note_on,,,,,0,0,1,,,,0,,,61,83
10800,note_off,,,,,120,0,1,,,,0,,,60,64
10920,note_off,,,,,120,0,1,,,,0,,,61,64
10920,note_on,,,,,0,0,1,,,,0,,,63,93
10920,note_on,,,,,360,0,2,,,,1,,,45,93
11040,note_off,,,,,120,0,1,,,,0,,,63,64
11040,note_off,,,,,120,0,2,,,,1,,,45,64
11040,note_on,,,,,0,0,2,,,,1,,,49,79
11040,note_on,,,,,0,0,1,,,,0,,,54,91
11070,note_on,,,,,30,0,1,,,,0,,,57,93
11100,note_on,,,,,30,0,1,,,,0,,,64,97
11160,note_off,,,,,0,0,1,,,,0,,,64,64
11160,note_off,,,,,0,0,1,,,,0,,,57,64
11160,note_off,,,,,60,0,1,,,,0,,,54,64
11160,note_on,,,,,0,0,1,,,,0,,,57,103
11280,note_on,,,,,0,0,1,,,,0,,,64,97
11280,note_off,,,,,120,0,1,,,,0,,,57,64
11400,note_on,,,,,0,0,1,,,,0,,,63,97
11400,note_off,,,,,120,0,1,,,,0,,,64,64
11520,note_on,,,,,0,0,1,,,,0,,,61,97
11520,note_on,,,,,0,0,2,,,,1,,,37,97
11520,note_off,,,,,0,0,2,,,,1,,,49,64
11520,note_off,,,,,480,0,2,,,,1,,,37,64
11520,note_off,,,,,120,0,1,,,,0,,,63,64
11880,note_on,,,,,360,0,2,,,,1,,,44,93
12000,note_off,,,,,480,0,1,,,,0,,,61,64
12000,note_off,,,,,120,0,2,,,,1,,,44,64
12000,note_on,,,,,0,0,2,,,,1,,,49,91
12000,note_on,,,,,0,0,1,,,,0,,,61,97
12030,note_on,,,,,0,0,1,,,,0,,,63,83
12030,note_off,,,,,30,0,1,,,,0,,,61,64
12060,note_on,,,,,0,0,1,,,,0,,,52,91
12060,note_on,,,,,0,0,1,,,,0,,,56,79
12060,note_on,,,,,0,0,1,,,,0,,,61,73
12060,note_off,,,,,30,0,1,,,,0,,,63,64
12240,note_off,,,,,180,0,1,,,,0,,,56,64
12240,note_off,,,,,0,0,1,,,,0,,,52,64
12360,note_on,,,,,0,0,1,,,,0,,,60,103
12360,note_off,,,,,120,0,1,,,,0,,,61,64
12480,note_off,,,,,120,0,1,,,,0,,,60,64
12480,note_off,,,,,0,0,2,,,,1,,,49,64
12480,note_on,,,,,0,0,1,,,,0,,,61,91
12480,note_on,,,,,0,0,2,,,,1,,,37,103
12480,note_off,,,,,480,0,2,,,,1,,,37,64
12840,note_on,,,,,360,0,2,,,,1,,,44,97
12960,note_on,,,,,0,0,2,,,,1,,,49,87
12960,note_off,,,,,120,0,2,,,,1,,,44,64
12960,note_on,,,,,0,0,1,,,,0,,,52,93
12960,note_on,,,,,480,0,1,,,,0,,,56,91
13200,note_off,,,,,240,0,1,,,,0,,,56,64
13200,note_off,,,,,0,0,1,,,,0,,,52,64
13319,note_off,,,,,119,0,1,,,,0,,,61,64
13320,note_on,,,,,1,0,1,,,,0,,,63,93
13440,note_on,,,,,0,0,2,,,,1,,,35,93
13440,note_on,,,,,0,0,1,,,,0,,,64,103
13440,note_off,,,,,120,0,1,,,,0,,,63,64
13440,note_off,,,,,0,0,2,,,,1,,,49,64
13440,note_off,,,,,480,0,2,,,,1,,,37,64
13560,note_off,,,,,120,0,1,,,,0,,,64,64
13800,note_on,,,,,360,0,2,,,,1,,,47,97
13920,note_on,,,,,0,0,1,,,,0,,,64,93
13920,note_on,,,,,360,0,1,,,,0,,,59,93
13920,note_off,,,,,120,0,2,,,,1,,,47,64
13920,note_on,,,,,0,0,1,,,,0,,,56,93
13920,note_on,,,,,0,0,2,,,,1,,,52,83
14160,note_off,,,,,240,0,1,,,,0,,,59,64
14160,note_off,,,,,0,0,1,,,,0,,,56,64
14400,note_off,,,,,480,0,2,,,,1,,,35,64
14400,note_on,,,,,0,0,2,,,,1,,,35,97
14400,note_off,,,,,0,0,2,,,,1,,,52,64
14519,note_off,,,,,359,0,1,,,,0,,,64,64
14520,note_on,,,,,1,0,1,,,,0,,,63,107
14640,note_on,,,,,0,0,1,,,,0,,,64,97
14640,note_off,,,,,120,0,1,,,,0,,,63,64
14760,note_on,,,,,360,0,2,,,,1,,,47,103
14760,note_off,,,,,120,0,1,,,,0,,,64,64
14760,note_on,,,,,0,0,1,,,,0,,,66,97
14880,note_on,,,,,0,0,1,,,,0,,,57,77
14880,note_on,,,,,0,0,1,,,,0,,,59,97
14880,note_off,,,,,120,0,2,,,,1,,,47,64
14880,note_on,,,,,0,0,2,,,,1,,,51,91
14880,note_off,,,,,120,0,1,,,,0,,,66,64
14880,note_on,,,,,0,0,1,,,,0,,,68,91
15000,note_off,,,,,120,0,1,,,,0,,,68,64
15000,note_on,,,,,0,0,1,,,,0,,,63,97
15120,note_on,,,,,0,0,1,,,,0,,,59,97
15120,note_on,,,,,0,0,1,,,,0,,,68,103
15120,note_off,,,,,0,0,1,,,,0,,,63,64
15120,note_off,,,,,120,0,1,,,,0,,,57,64
15240,note_on,,,,,0,0,1,,,,0,,,66,97
15240,note_off,,,,,120,0,1,,,,0,,,68,64
15360,note_on,,,,,0,0,1,,,,0,,,64,107
15360,note_off,,,,,120,0,1,,,,0,,,66,64
15360,note_off,,,,,480,0,2,,,,1,,,35,64
15360,note_on,,,,,0,0,2,,,,1,,,40,97
15360,note_off,,,,,0,0,2,,,,1,,,51,64
15720,note_on,,,,,360,0,2,,,,1,,,47,93
15840,note_off,,,,,120,0,2,,,,1,,,47,64
15840,note_off,,,,,480,0,1,,,,0,,,64,64
15840,note_on,,,,,0,0,1,,,,0,,,64,97
15840,note_on,,,,,0,0,2,,,,1,,,52,91
15870,note_on,,,,,0,0,1,,,,0,,,66,83
15870,note_off,,,,,30,0,1,,,,0,,,64,64
15900,note_on,,,,,0,0,1,,,,0,,,56,93
15900,note_on,,,,,0,0,1,,,,0,,,59,93
15900,note_on,,,,,0,0,1,,,,0,,,64,91
15900,note_off,,,,,30,0,1,,,,0,,,66,64
16079,note_off,,,,,179,0,1,,,,0,,,59,64
16080,note_off,,,,,1,0,1,,,,0,,,56,64
16200,note_on,,,,,0,0,1,,,,0,,,63,97
16200,note_off,,,,,120,0,1,,,,0,,,64,64
16320,note_on,,,,,0,0,1,,,,0,,,64,97
16320,note_off,,,,,480,0,2,,,,1,,,40,64
16320,note_on,,,,,0,0,2,,,,1,,,40,93
16320,note_off,,,,,120,0,1,,,,0,,,63,64
16320,note_off,,,,,0,0,2,,,,1,,,52,64
16510,set_tempo,,,,,8750,1,0,769230,,,,,,,
16600,set_tempo,,,,,90,1,0,779220,,,,,,,
16680,set_tempo,,,,,80,1,0,789473,,,,,,,
16680,note_on,,,,,0,0,2,,,,1,,,47,83
16680,note_off,,,,,360,0,2,,,,1,,,40,64
16770,set_tempo,,,,,90,1,0,800000,,,,,,,
16800,note_off,,,,,120,0,2,,,,1,,,47,64
16800,note_off,,,,,480,0,1,,,,0,,,64,64
16800,note_on,,,,,0,0,1,,,,0,,,68,87
16800,note_on,,,,,0,0,1,,,,0,,,56,93
16800,note_on,,,,,0,0,2,,,,1,,,48,118
16800,note_on,,,,,0,0,1,,,,0,,,54,93
16800,note_on,,,,,0,0,2,,,,1,,,32,118
16800,note_on,,,,,0,0,1,,,,0,,,64,97
16800,note_on,,,,,0,0,1,,,,0,,,60,93
17010,set_tempo,,,,,240,1,0,789473,,,,,,,
17080,set_tempo,,,,,70,1,0,779220,,,,,,,
17160,note_off,,,,,360,0,1,,,,0,,,64,64
17160,set_tempo,,,,,80,1,0,769230,,,,,,,
17160,note_on,,,,,0,0,1,,,,0,,,63,103
17250,set_tempo,,,,,90,1,0,750000,,,,,,,
17280,note_on,,,,,0,0,1,,,,0,,,56,97
17280,note_off,,,,,480,0,2,,,,1,,,32,64
17280,note_off,,,,,0,0,1,,,,0,,,63,64
17280,note_off,,,,,0,0,1,,,,0,,,68,64
17280,note_off,,,,,0,0,1,,,,0,,,56,64
17280,note_off,,,,,0,0,2,,,,1,,,48,64
17280,note_off,,,,,120,0,1,,,,0,,,54,64
17280,note_off,,,,,0,0,1,,,,0,,,60,64
17280,note_on,,,,,0,0,2,,,,1,,,37,103
17310,note_on,,,,,0,0,1,,,,0,,,61,93
17310,note_off,,,,,30,0,1,,,,0,,,56,64
17340,note_on,,,,,0,0,1,,,,0,,,64,93
17340,note_off,,,,,30,0,1,,,,0,,,61,64
17370,note_off,,,,,30,0,1,,,,0,,,64,64
17370,note_on,,,,,0,0,1,,,,0,,,68,97
17400,note_off,,,,,30,0,1,,,,0,,,68,64
17430,note_on,,,,,30,0,1,,,,0,,,73,91
17459,note_off,,,,,29,0,1,,,,0,,,59,64
17519,note_off,,,,,60,0,1,,,,0,,,59,64
17550,note_off,,,,,31,0,1,,,,0,,,73,64
17640,note_on,,,,,360,0,2,,,,1,,,44,91
17760,note_off,,,,,120,0,2,,,,1,,,44,64
17760,note_on,,,,,0,0,1,,,,0,,,64,93
17760,note_on,,,,,0,0,2,,,,1,,,49,93
17760,note_on,,,,,210,0,1,,,,0,,,68,83
17760,note_on,,,,,0,0,2,,,,1,,,52,97
17790,note_on,,,,,0,0,1,,,,0,,,61,93
17790,note_on,,,,,30,0,1,,,,0,,,73,83
18000,note_off,,,,,210,0,1,,,,0,,,68,64
18000,note_off,,,,,0,0,1,,,,0,,,64,64
18240,note_off,,,,,480,0,2,,,,1,,,37,64
18240,note_on,,,,,0,0,1,,,,0,,,66,93
18240,note_on,,,,,0,0,2,,,,1,,,30,121
18240,note_off,,,,,0,0,2,,,,1,,,52,64
18240,note_off,,,,,0,0,2,,,,1,,,49,64
18240,note_on,,,,,240,0,1,,,,0,,,69,107
18359,note_off,,,,,0,0,1,,,,0,,,61,64
18359,note_off,,,,,119,0,1,,,,0,,,73,64
18360,note_on,,,,,1,0,1,,,,0,,,60,97
18360,note_on,,,,,0,0,1,,,,0,,,72,103
18480,note_on,,,,,0,0,1,,,,0,,,61,87
18480,note_on,,,,,0,0,1,,,,0,,,73,97
18480,note_off,,,,,0,0,1,,,,0,,,72,64
18480,note_off,,,,,120,0,1,,,,0,,,69,64
18480,note_off,,,,,0,0,1,,,,0,,,66,64
18480,note_off,,,,,0,0,1,,,,0,,,60,64
18600,note_off,,,,,120,0,1,,,,0,,,61,64
18600,note_off,,,,,0,0,1,,,,0,,,73,64
18600,note_on,,,,,360,0,2,,,,1,,,49,97
18600,note_on,,,,,0,0,1,,,,0,,,63,91
18600,note_on,,,,,0,0,1,,,,0,,,75,93
18720,note_off,,,,,120,0,1,,,,0,,,63,64
18720,note_off,,,,,120,0,2,,,,1,,,49,64
18720,note_on,,,,,0,0,1,,,,0,,,76,107
18720,note_on,,,,,0,0,1,,,,0,,,64,93
18720,note_on,,,,,0,0,2,,,,1,,,57,103
18720,note_on,,,,,0,0,2,,,,1,,,54,79
18720,note_off,,,,,0,0,1,,,,0,,,75,64
18840,note_off,,,,,120,0,1,,,,0,,,76,64
18840,note_on,,,,,0,0,1,,,,0,,,69,107
18840,note_off,,,,,0,0,1,,,,0,,,64,64
18960,note_on,,,,,0,0,1,,,,0,,,76,107
18960,note_on,,,,,0,0,1,,,,0,,,64,103
18960,note_off,,,,,120,0,1,,,,0,,,69,64
19080,note_off,,,,,120,0,1,,,,0,,,76,64
19080,note_off,,,,,0,0,1,,,,0,,,64,64
19080,note_on,,,,,0,0,1,,,,0,,,63,107
19080,note_on,,,,,0,0,1,,,,0,,,75,93
19200,note_off,,,,,120,0,1,,,,0,,,75,64
19200,note_on,,,,,0,0,2,,,,1,,,25,122
19200,note_on,,,,,0,0,1,,,,0,,,61,97
19200,note_on,,,,,0,0,1,,,,0,,,73,91
19200,note_off,,,,,0,0,1,,,,0,,,63,64
19200,note_off,,,,,0,0,2,,,,1,,,57,64
19200,note_off,,,,,0,0,2,,,,1,,,54,64
19200,note_off,,,,,480,0,2,,,,1,,,30,64
19320,note_off,,,,,120,0,1,,,,0,,,73,64
19320,note_off,,,,,0,0,1,,,,0,,,61,64
19560,note_on,,,,,360,0,2,,,,1,,,44,93
19680,note_off,,,,,120,0,2,,,,1,,,44,64
19680,note_on,,,,,0,0,2,,,,1,,,49,107
19680,note_on,,,,,360,0,1,,,,0,,,73,103
19680,note_on,,,,,0,0,2,,,,1,,,52,93
19710,note_on,,,,,0,0,1,,,,0,,,75,107
