tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
7040,note_off,,,,,128,0,2,,,,,1,,,61,77
7104,note_on,,,,,0,0,2,,,,,1,,,54,121
7104,note_on,,,,,64,0,2,,,,,1,,,61,121
7104,note_on,,,,,0,0,2,,,,,1,,,40,121
7104,note_on,,,,,0,0,2,,,,,1,,,47,121
7232,note_off,,,,,0,0,2,,,,,1,,,54,77
7232,note_off,,,,,0,0,2,,,,,1,,,40,77
7232,note_off,,,,,0,0,2,,,,,1,,,47,77
7232,note_off,,,,,128,0,2,,,,,1,,,61,77
7296,note_on,,,,,0,0,2,,,,,1,,,47,121
7296,note_on,,,,,64,0,2,,,,,1,,,61,121
7296,note_on,,,,,0,0,2,,,,,1,,,40,121
7296,note_on,,,,,0,0,2,,,,,1,,,54,121
7392,note_on,,,,,7392,0,1,,,,,0,,,60,121
7424,note_off,,,,,128,0,2,,,,,1,,,61,77
7424,note_off,,,,,0,0,2,,,,,1,,,40,77
7424,note_off,,,,,0,0,2,,,,,1,,,47,77
7424,note_off,,,,,0,0,2,,,,,1,,,54,77
7488,note_on,,,,,0,0,2,,,,,1,,,40,121
7488,note_on,,,,,64,0,2,,,,,1,,,54,121
7488,note_on,,,,,0,0,1,,,,,0,,,61,121
7488,note_on,,,,,96,0,1,,,,,0,,,69,121
7488,note_on,,,,,0,0,2,,,,,1,,,47,121
7520,note_off,,,,,32,0,1,,,,,0,,,60,77
7616,note_off,,,,,0,0,2,,,,,1,,,47,77
7616,note_off,,,,,0,0,2,,,,,1,,,40,77
7616,note_off,,,,,96,0,1,,,,,0,,,69,77
7616,note_off,,,,,128,0,2,,,,,1,,,54,77
7616,note_off,,,,,0,0,1,,,,,0,,,61,77
7680,note_on,,,,,64,0,1,,,,,0,,,69,121
7680,note_on,,,,,64,0,2,,,,,1,,,54,121
7680,note_on,,,,,0,0,1,,,,,0,,,61,121
7680,note_on,,,,,0,0,2,,,,,1,,,40,121
7680,note_on,,,,,0,0,2,,,,,1,,,47,121
7808,note_off,,,,,0,0,2,,,,,1,,,47,77
7808,note_off,,,,,128,0,2,,,,,1,,,54,77
7808,note_off,,,,,0,0,1,,,,,0,,,61,77
7808,note_off,,,,,128,0,1,,,,,0,,,69,77
7808,note_off,,,,,0,0,2,,,,,1,,,40,77
7872,note_on,,,,,0,0,2,,,,,1,,,40,121
7872,note_on,,,,,64,0,1,,,,,0,,,69,121
7872,note_on,,,,,64,0,2,,,,,1,,,54,121
7872,note_on,,,,,0,0,2,,,,,1,,,47,121
7872,note_on,,,,,0,0,1,,,,,0,,,61,121
8000,note_off,,,,,0,0,1,,,,,0,,,61,77
8000,note_off,,,,,128,0,2,,,,,1,,,54,77
8000,note_off,,,,,0,0,2,,,,,1,,,40,77
8000,note_off,,,,,0,0,2,,,,,1,,,47,77
8000,note_off,,,,,128,0,1,,,,,0,,,69,77
8064,note_on,,,,,0,0,1,,,,,0,,,61,121
8064,note_on,,,,,0,0,2,,,,,1,,,47,121
8064,note_on,,,,,0,0,2,,,,,1,,,40,121
8064,note_on,,,,,64,0,1,,,,,0,,,69,121
8064,note_on,,,,,64,0,2,,,,,1,,,54,121
8192,note_off,,,,,0,0,2,,,,,1,,,47,77
8192,note_off,,,,,0,0,2,,,,,1,,,40,77
8192,note_off,,,,,128,0,1,,,,,0,,,69,77
8192,note_off,,,,,128,0,2,,,,,1,,,54,77
8192,note_off,,,,,0,0,1,,,,,0,,,61,77
8256,note_on,,,,,0,0,2,,,,,1,,,47,121
8256,note_on,,,,,0,0,2,,,,,1,,,40,121
8256,note_on,,,,,64,0,2,,,,,1,,,54,121
8256,note_on,,,,,64,0,1,,,,,0,,,69,121
8256,note_on,,,,,0,0,1,,,,,0,,,61,121
8384,note_off,,,,,0,0,2,,,,,1,,,40,77
8384,note_off,,,,,0,0,2,,,,,1,,,47,77
8384,note_off,,,,,128,0,1,,,,,0,,,69,77
8384,note_off,,,,,0,0,1,,,,,0,,,61,77
8384,note_off,,,,,128,0,2,,,,,1,,,54,77
8448,note_on,,,,,64,0,2,,,,,1,,,54,121
8448,note_on,,,,,0,0,2,,,,,1,,,47,121
8448,note_on,,,,,0,0,2,,,,,1,,,40,121
8448,note_on,,,,,0,0,1,,,,,0,,,61,121
8448,note_on,,,,,64,0,1,,,,,0,,,69,121
8544,note_on,,,,,96,0,1,,,,,0,,,61,121
8576,note_off,,,,,0,0,1,,,,,0,,,61,77
8576,note_off,,,,,32,0,1,,,,,0,,,69,77
8576,note_off,,,,,128,0,2,,,,,1,,,54,77
8576,note_off,,,,,0,0,2,,,,,1,,,40,77
8576,note_off,,,,,0,0,2,,,,,1,,,47,77
8640,note_on,,,,,0,0,2,,,,,1,,,47,121
8640,note_on,,,,,64,0,1,,,,,0,,,62,121
8640,note_on,,,,,0,0,2,,,,,1,,,40,121
8640,note_on,,,,,0,0,1,,,,,0,,,69,121
8640,note_on,,,,,64,0,2,,,,,1,,,54,121
8672,note_off,,,,,32,0,1,,,,,0,,,61,77
8768,note_off,,,,,0,0,2,,,,,1,,,47,77
8768,note_off,,,,,96,0,1,,,,,0,,,62,77
8768,note_off,,,,,0,0,2,,,,,1,,,40,77
8768,note_off,,,,,128,0,2,,,,,1,,,54,77
8768,note_off,,,,,0,0,1,,,,,0,,,69,77
8832,note_on,,,,,64,0,2,,,,,1,,,54,121
8832,note_on,,,,,0,0,1,,,,,0,,,69,121
8832,note_on,,,,,64,0,1,,,,,0,,,62,121
8832,note_on,,,,,0,0,2,,,,,1,,,47,121
8832,note_on,,,,,0,0,2,,,,,1,,,40,121
8960,note_off,,,,,128,0,1,,,,,0,,,62,77
8960,note_off,,,,,0,0,1,,,,,0,,,69,77
8960,note_off,,,,,128,0,2,,,,,1,,,54,77
8960,note_off,,,,,0,0,2,,,,,1,,,47,77
8960,note_off,,,,,0,0,2,,,,,1,,,40,77
9024,note_on,,,,,64,0,1,,,,,0,,,62,121
9024,note_on,,,,,0,0,2,,,,,1,,,40,121
9024,note_on,,,,,64,0,2,,,,,1,,,54,121
9024,note_on,,,,,0,0,1,,,,,0,,,69,121
9024,note_on,,,,,0,0,2,,,,,1,,,47,121
9152,note_off,,,,,128,0,1,,,,,0,,,62,77
9152,note_off,,,,,128,0,2,,,,,1,,,54,77
9152,note_off,,,,,0,0,1,,,,,0,,,69,77
9152,note_off,,,,,0,0,2,,,,,1,,,40,77
9152,note_off,,,,,0,0,2,,,,,1,,,47,77
9216,note_on,,,,,64,0,1,,,,,0,,,69,121
9216,note_on,,,,,0,0,1,,,,,0,,,62,121
9216,note_on,,,,,0,0,2,,,,,1,,,47,121
9216,note_on,,,,,0,0,2,,,,,1,,,40,121
9216,note_on,,,,,64,0,2,,,,,1,,,54,121
9344,note_off,,,,,128,0,2,,,,,1,,,54,77
9344,note_off,,,,,0,0,1,,,,,0,,,62,77
9344,note_off,,,,,128,0,1,,,,,0,,,69,77
9344,note_off,,,,,0,0,2,,,,,1,,,47,77
9344,note_off,,,,,0,0,2,,,,,1,,,40,77
9408,note_on,,,,,64,0,2,,,,,1,,,54,121
9408,note_on,,,,,0,0,2,,,,,1,,,40,121
9408,note_on,,,,,0,0,2,,,,,1,,,47,121
9408,note_on,,,,,64,0,1,,,,,0,,,62,121
9536,note_off,,,,,128,0,1,,,,,0,,,62,77
9536,note_off,,,,,0,0,2,,,,,1,,,40,77
9536,note_off,,,,,0,0,2,,,,,1,,,47,77
9536,note_off,,,,,128,0,2,,,,,1,,,54,77
9600,note_on,,,,,0,0,2,,,,,1,,,40,121
9600,note_on,,,,,0,0,2,,,,,1,,,47,121
9600,note_on,,,,,0,0,1,,,,,0,,,69,121
9600,note_on,,,,,64,0,1,,,,,0,,,62,121
9600,note_on,,,,,64,0,2,,,,,1,,,54,121
9728,note_off,,,,,0,0,2,,,,,1,,,47,77
9728,note_off,,,,,0,0,2,,,,,1,,,40,77
9728,note_off,,,,,128,0,2,,,,,1,,,54,77
9728,note_off,,,,,0,0,1,,,,,0,,,69,77
9728,note_off,,,,,128,0,1,,,,,0,,,62,77
9792,note_on,,,,,64,0,2,,,,,1,,,54,121
9792,note_on,,,,,0,0,1,,,,,0,,,62,121
9792,note_on,,,,,0,0,1,,,,,0,,,62,121
9792,note_on,,,,,0,0,1,,,,,0,,,76,121
9792,note_on,,,,,0,0,1,,,,,0,,,69,121
9792,note_on,,,,,64,0,1,,,,,0,,,76,121
9792,note_on,,,,,0,0,2,,,,,1,,,40,121
9792,note_on,,,,,0,0,2,,,,,1,,,47,121
9792,note_on,,,,,0,0,1,,,,,0,,,69,121
9920,note_off,,,,,0,0,2,,,,,1,,,40,77
9920,note_off,,,,,128,0,2,,,,,1,,,54,77
9920,note_off,,,,,0,0,2,,,,,1,,,47,77
9984,note_on,,,,,64,0,2,,,,,1,,,54,121
9984,note_on,,,,,0,0,2,,,,,1,,,47,121
9984,note_on,,,,,0,0,2,,,,,1,,,40,121
10048,note_off,,,,,0,0,1,,,,,0,,,69,77
10048,note_off,,,,,256,0,1,,,,,0,,,76,77
10048,note_off,,,,,0,0,1,,,,,0,,,69,77
10048,note_off,,,,,0,0,1,,,,,0,,,62,77
10048,note_off,,,,,0,0,1,,,,,0,,,76,77
10048,note_off,,,,,0,0,1,,,,,0,,,62,77
10112,note_off,,,,,0,0,2,,,,,1,,,47,77
10112,note_off,,,,,0,0,2,,,,,1,,,40,77
10112,note_off,,,,,128,0,2,,,,,1,,,54,77
10176,note_on,,,,,64,0,2,,,,,1,,,54,121
10176,note_on,,,,,0,0,2,,,,,1,,,40,121
10176,note_on,,,,,128,0,1,,,,,0,,,69,121
10176,note_on,,,,,0,0,1,,,,,0,,,62,121
10176,note_on,,,,,0,0,2,,,,,1,,,47,121
10304,note_off,,,,,128,0,2,,,,,1,,,54,77
10304,note_off,,,,,0,0,1,,,,,0,,,62,77
10304,note_off,,,,,128,0,1,,,,,0,,,69,77
10304,note_off,,,,,0,0,2,,,,,1,,,47,77
10304,note_off,,,,,0,0,2,,,,,1,,,40,77
10368,note_on,,,,,0,0,2,,,,,1,,,54,121
10368,note_on,,,,,0,0,2,,,,,1,,,47,121
10368,note_on,,,,,64,0,2,,,,,1,,,40,121
10496,note_off,,,,,0,0,2,,,,,1,,,54,77
10496,note_off,,,,,0,0,2,,,,,1,,,47,77
10496,note_off,,,,,128,0,2,,,,,1,,,40,77
10560,note_on,,,,,256,0,1,,,,,0,,,62,121
10560,note_on,,,,,0,0,2,,,,,1,,,47,121
10560,note_on,,,,,0,0,2,,,,,1,,,54,121
10560,note_on,,,,,64,0,2,,,,,1,,,40,121
10688,note_off,,,,,0,0,2,,,,,1,,,47,77
10688,note_off,,,,,0,0,2,,,,,1,,,54,77
10688,note_off,,,,,128,0,1,,,,,0,,,62,77
10688,note_off,,,,,128,0,2,,,,,1,,,40,77
10752,note_on,,,,,0,0,2,,,,,1,,,47,121
10752,note_on,,,,,0,0,2,,,,,1,,,54,121
10752,note_on,,,,,64,0,2,,,,,1,,,40,121
10752,note_on,,,,,0,0,1,,,,,0,,,69,121
10752,note_on,,,,,64,0,1,,,,,0,,,62,121
10880,note_off,,,,,0,0,1,,,,,0,,,69,77
10880,note_off,,,,,128,0,2,,,,,1,,,40,77
10880,note_off,,,,,128,0,1,,,,,0,,,62,77
10880,note_off,,,,,0,0,2,,,,,1,,,54,77
10880,note_off,,,,,0,0,2,,,,,1,,,47,77
10944,note_on,,,,,0,0,2,,,,,1,,,54,121
10944,note_on,,,,,64,0,1,,,,,0,,,62,121
10944,note_on,,,,,0,0,1,,,,,0,,,62,121
10944,note_on,,,,,0,0,1,,,,,0,,,76,121
10944,note_on,,,,,64,0,2,,,,,1,,,47,121
10944,note_on,,,,,0,0,1,,,,,0,,,69,121
10944,note_on,,,,,0,0,1,,,,,0,,,69,121
10944,note_on,,,,,0,0,2,,,,,1,,,40,121
10944,note_on,,,,,0,0,1,,,,,0,,,76,121
11072,note_off,,,,,0,0,2,,,,,1,,,40,77
11072,note_off,,,,,0,0,2,,,,,1,,,54,77
11072,note_off,,,,,128,0,2,,,,,1,,,47,77
11136,note_on,,,,,64,0,2,,,,,1,,,54,121
11136,note_on,,,,,0,0,2,,,,,1,,,40,121
11136,note_on,,,,,0,0,2,,,,,1,,,47,121
11200,note_off,,,,,0,0,1,,,,,0,,,76,77
11200,note_off,,,,,0,0,1,,,,,0,,,69,77
11200,note_off,,,,,0,0,1,,,,,0,,,69,77
11200,note_off,,,,,0,0,1,,,,,0,,,62,77
11200,note_off,,,,,0,0,1,,,,,0,,,76,77
11200,note_off,,,,,256,0,1,,,,,0,,,62,77
11264,note_off,,,,,0,0,2,,,,,1,,,47,77
11264,note_off,,,,,0,0,2,,,,,1,,,40,77
11264,note_off,,,,,128,0,2,,,,,1,,,54,77
11328,note_on,,,,,0,0,2,,,,,1,,,40,121
11328,note_on,,,,,128,0,1,,,,,0,,,62,121
11328,note_on,,,,,64,0,2,,,,,1,,,54,121
11328,note_on,,,,,0,0,2,,,,,1,,,47,121
11328,note_on,,,,,0,0,1,,,,,0,,,69,121
11456,note_off,,,,,128,0,2,,,,,1,,,54,77
11456,note_off,,,,,0,0,2,,,,,1,,,47,77
11456,note_off,,,,,128,0,1,,,,,0,,,62,77
11456,note_off,,,,,0,0,1,,,,,0,,,69,77
11456,note_off,,,,,0,0,2,,,,,1,,,40,77
11520,note_on,,,,,0,0,2,,,,,1,,,40,121
11520,note_on,,,,,64,0,2,,,,,1,,,54,121
11520,note_on,,,,,64,0,1,,,,,0,,,62,121
11520,note_on,,,,,0,0,1,,,,,0,,,69,121
11520,note_on,,,,,0,0,1,,,,,0,,,69,121
11520,note_on,,,,,0,0,1,,,,,0,,,76,121
11520,note_on,,,,,0,0,1,,,,,0,,,76,121
11520,note_on,,,,,0,0,1,,,,,0,,,62,121
11520,note_on,,,,,0,0,2,,,,,1,,,47,121
11648,note_off,,,,,0,0,2,,,,,1,,,40,77
11648,note_off,,,,,128,0,2,,,,,1,,,54,77
11648,note_off,,,,,0,0,2,,,,,1,,,47,77
11712,note_on,,,,,0,0,2,,,,,1,,,47,121
11712,note_on,,,,,0,0,2,,,,,1,,,40,121
11712,note_on,,,,,64,0,2,,,,,1,,,54,121
11776,note_off,,,,,0,0,1,,,,,0,,,62,77
11776,note_off,,,,,0,0,1,,,,,0,,,76,77
11776,note_off,,,,,0,0,1,,,,,0,,,76,77
11776,note_off,,,,,256,0,1,,,,,0,,,62,77
11776,note_off,,,,,0,0,1,,,,,0,,,69,77
11776,note_off,,,,,0,0,1,,,,,0,,,69,77
11840,note_off,,,,,0,0,2,,,,,1,,,40,77
11840,note_off,,,,,0,0,2,,,,,1,,,47,77
11840,note_off,,,,,128,0,2,,,,,1,,,54,77
11904,note_on,,,,,0,0,1,,,,,0,,,62,121
11904,note_on,,,,,0,0,2,,,,,1,,,40,121
11904,note_on,,,,,0,0,2,,,,,1,,,47,121
11904,note_on,,,,,128,0,1,,,,,0,,,69,121
11904,note_on,,,,,64,0,2,,,,,1,,,54,121
12032,note_off,,,,,128,0,2,,,,,1,,,54,77
12032,note_off,,,,,128,0,1,,,,,0,,,69,77
12032,note_off,,,,,0,0,2,,,,,1,,,47,77
12032,note_off,,,,,0,0,2,,,,,1,,,40,77
12032,note_off,,,,,0,0,1,,,,,0,,,62,77
12096,note_on,,,,,0,0,1,,,,,0,,,69,121
12096,note_on,,,,,0,0,1,,,,,0,,,62,121
12096,note_on,,,,,0,0,1,,,,,0,,,76,121
12096,note_on,,,,,0,0,1,,,,,0,,,69,121
12096,note_on,,,,,0,0,1,,,,,0,,,76,121
12096,note_on,,,,,64,0,1,,,,,0,,,62,121
12096,note_on,,,,,0,0,2,,,,,1,,,47,121
12096,note_on,,,,,64,0,2,,,,,1,,,54,121
12096,note_on,,,,,0,0,2,,,,,1,,,40,121
12224,note_off,,,,,0,0,2,,,,,1,,,47,77
12224,note_off,,,,,128,0,2,,,,,1,,,54,77
12224,note_off,,,,,0,0,2,,,,,1,,,40,77
12288,note_on,,,,,0,0,2,,,,,1,,,47,121
12288,note_on,,,,,0,0,2,,,,,1,,,40,121
12288,note_on,,,,,64,0,2,,,,,1,,,54,121
12352,note_off,,,,,256,0,1,,,,,0,,,62,77
12352,note_off,,,,,0,0,1,,,,,0,,,76,77
12352,note_off,,,,,0,0,1,,,,,0,,,69,77
12352,note_off,,,,,0,0,1,,,,,0,,,62,77
12352,note_off,,,,,0,0,1,,,,,0,,,69,77
12352,note_off,,,,,0,0,1,,,,,0,,,76,77
12416,note_off,,,,,128,0,2,,,,,1,,,54,77
12416,note_off,,,,,0,0,2,,,,,1,,,40,77
12416,note_off,,,,,0,0,2,,,,,1,,,47,77
12480,note_on,,,,,0,0,2,,,,,1,,,40,121
12480,note_on,,,,,128,0,1,,,,,0,,,69,121
12480,note_on,,,,,64,0,2,,,,,1,,,54,121
12480,note_on,,,,,0,0,2,,,,,1,,,47,121
12480,note_on,,,,,0,0,1,,,,,0,,,62,121
12608,note_off,,,,,0,0,2,,,,,1,,,40,77
12608,note_off,,,,,0,0,2,,,,,1,,,47,77
12608,note_off,,,,,0,0,1,,,,,0,,,62,77
12608,note_off,,,,,128,0,1,,,,,0,,,69,77
12608,note_off,,,,,128,0,2,,,,,1,,,54,77
12672,note_on,,,,,0,0,2,,,,,1,,,40,121
12672,note_on,,,,,0,0,2,,,,,1,,,47,121
