tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
4272,note_on,192,0,3,,,,,,,,0,60,0,,
4272,note_on,0,0,3,,,,,,,,0,63,0,,
4290,note_on,42,0,4,,,,,,,,0,52,80,,
4290,note_on,42,0,2,,,,,,,,0,69,80,,
4305,note_on,15,0,4,,,,,,,,0,61,80,,
4314,note_on,0,0,2,,,,,,,,0,78,0,,
4314,note_on,24,0,2,,,,,,,,0,69,0,,
4320,note_on,6,0,2,,,,,,,,0,69,80,,
4320,note_on,4320,0,1,,,,,,,,0,78,80,,
4320,note_on,0,0,4,,,,,,,,0,64,80,,
4320,control_change,15,0,4,,,,,,,,0,,,64,0
4320,time_signature,4320,1,0,8,4,24,8,,,,,,,,
4662,control_change,342,0,4,,,,,,,,0,,,64,127
5232,note_on,912,0,1,,,,,,,,0,78,0,,
5280,note_on,48,0,1,,,,,,,,0,76,80,,
5376,note_on,96,0,1,,,,,,,,0,76,0,,
5400,note_on,24,0,1,,,,,,,,0,85,80,,
5472,note_on,1152,0,2,,,,,,,,0,69,0,,
5496,note_on,96,0,1,,,,,,,,0,85,0,,
5520,note_on,24,0,1,,,,,,,,0,83,80,,
5568,note_on,906,0,4,,,,,,,,0,64,0,,
5568,note_on,0,0,4,,,,,,,,0,61,0,,
5568,note_on,0,0,4,,,,,,,,0,52,0,,
5616,note_on,96,0,1,,,,,,,,0,83,0,,
5640,note_on,24,0,1,,,,,,,,0,81,80,,
5736,note_on,96,0,1,,,,,,,,0,81,0,,
5760,note_on,24,0,1,,,,,,,,0,78,80,,
5856,note_on,96,0,1,,,,,,,,0,78,0,,
5880,note_on,24,0,1,,,,,,,,0,76,80,,
5976,note_on,96,0,1,,,,,,,,0,76,0,,
6000,note_on,24,0,1,,,,,,,,0,73,80,,
6080,note_on,80,0,1,,,,,,,,0,73,0,,
6080,note_on,0,0,1,,,,,,,,0,71,80,,
6160,note_on,80,0,1,,,,,,,,0,71,0,,
6160,note_on,0,0,1,,,,,,,,0,69,80,,
6240,control_change,672,0,4,,,,,,,,0,,,64,0
6240,time_signature,1920,1,0,6,4,24,8,,,,,,,,
6240,note_on,0,0,1,,,,,,,,0,66,80,,
6240,note_on,80,0,1,,,,,,,,0,69,0,,
7286,control_change,1046,0,4,,,,,,,,0,,,64,127
7344,note_on,1104,0,1,,,,,,,,0,66,0,,
7440,note_on,96,0,1,,,,,,,,0,64,80,,
7632,note_on,192,0,1,,,,,,,,0,64,0,,
7766,control_change,480,0,4,,,,,,,,0,,,64,0
7920,note_on,154,0,4,,,,,,,,0,37,80,,
7920,note_on,0,0,4,,,,,,,,0,49,80,,
8112,note_on,0,0,4,,,,,,,,0,37,0,,
8112,note_on,192,0,4,,,,,,,,0,49,0,,
8160,note_on,0,0,4,,,,,,,,0,35,80,,
8160,note_on,48,0,4,,,,,,,,0,47,80,,
8352,note_on,0,0,4,,,,,,,,0,47,0,,
8352,note_on,192,0,4,,,,,,,,0,35,0,,
8400,note_on,48,0,4,,,,,,,,0,33,80,,
8400,note_on,0,0,4,,,,,,,,0,45,80,,
8402,control_change,2,0,4,,,,,,,,0,,,64,127
8592,note_on,0,0,4,,,,,,,,0,33,0,,
8592,note_on,190,0,4,,,,,,,,0,45,0,,
8640,note_on,0,0,4,,,,,,,,0,44,80,,
8640,note_on,48,0,4,,,,,,,,0,32,80,,
8832,note_on,0,0,4,,,,,,,,0,32,0,,
8832,note_on,192,0,4,,,,,,,,0,44,0,,
8880,note_on,0,0,4,,,,,,,,0,33,80,,
8880,note_on,48,0,4,,,,,,,,0,45,80,,
9072,note_on,192,0,4,,,,,,,,0,33,0,,
9072,note_on,0,0,4,,,,,,,,0,45,0,,
9090,note_on,4818,0,3,,,,,,,,0,28,80,,
9120,control_change,48,0,4,,,,,,,,0,,,64,0
9120,note_on,0,0,4,,,,,,,,0,40,80,,
9504,note_on,414,0,3,,,,,,,,0,28,0,,
9768,control_change,648,0,4,,,,,,,,0,,,64,127
9840,note_on,4368,0,2,,,,,,,,0,54,80,,
9840,note_on,336,0,3,,,,,,,,0,45,80,,
9855,note_on,15,0,3,,,,,,,,0,48,80,,
10416,note_on,576,0,2,,,,,,,,0,54,0,,
10557,note_on,702,0,3,,,,,,,,0,48,0,,
10557,note_on,0,0,3,,,,,,,,0,45,0,,
10560,note_on,0,0,3,,,,,,,,0,46,80,,
10560,control_change,792,0,4,,,,,,,,0,,,64,0
10560,note_on,3,0,3,,,,,,,,0,49,80,,
10560,note_on,144,0,2,,,,,,,,0,55,80,,
10618,control_change,58,0,4,,,,,,,,0,,,64,127
10944,note_on,384,0,2,,,,,,,,0,55,0,,
11040,note_on,96,0,2,,,,,,,,0,57,80,,
11088,note_on,48,0,2,,,,,,,,0,57,0,,
11100,note_on,12,0,2,,,,,,,,0,55,80,,
11148,note_on,48,0,2,,,,,,,,0,55,0,,
11160,note_on,12,0,2,,,,,,,,0,54,80,,
11192,note_on,32,0,2,,,,,,,,0,54,0,,
11200,note_on,8,0,2,,,,,,,,0,55,80,,
11232,note_on,32,0,2,,,,,,,,0,55,0,,
11240,note_on,8,0,2,,,,,,,,0,55,80,,
11280,note_on,40,0,2,,,,,,,,0,61,80,,
11285,control_change,667,0,4,,,,,,,,0,,,64,0
11664,note_on,379,0,4,,,,,,,,0,40,0,,
11664,note_on,384,0,2,,,,,,,,0,55,0,,
11664,note_on,0,0,3,,,,,,,,0,49,0,,
11664,note_on,1104,0,3,,,,,,,,0,46,0,,
11760,note_on,0,0,3,,,,,,,,0,49,80,,
11760,note_on,96,0,2,,,,,,,,0,54,80,,
11760,note_on,96,0,3,,,,,,,,0,46,80,,
11760,note_on,96,0,4,,,,,,,,0,40,80,,
11765,control_change,5,0,4,,,,,,,,0,,,64,127
11952,note_on,0,0,2,,,,,,,,0,61,0,,
11952,note_on,192,0,2,,,,,,,,0,54,0,,
11952,note_on,187,0,4,,,,,,,,0,40,0,,
11952,note_on,192,0,3,,,,,,,,0,49,0,,
11952,note_on,0,0,3,,,,,,,,0,46,0,,
12000,control_change,48,0,4,,,,,,,,0,,,64,0
12000,note_on,0,0,4,,,,,,,,0,53,80,,
12000,time_signature,5760,1,0,8,4,24,8,,,,,,,,
12000,note_on,48,0,2,,,,,,,,0,61,80,,
12000,note_on,0,0,4,,,,,,,,0,49,80,,
12000,note_on,0,0,4,,,,,,,,0,41,80,,
12000,note_on,0,0,4,,,,,,,,0,46,80,,
12882,control_change,882,0,4,,,,,,,,0,,,64,127
12912,note_on,912,0,2,,,,,,,,0,61,0,,
12960,note_on,48,0,2,,,,,,,,0,60,80,,
13056,note_on,96,0,2,,,,,,,,0,60,0,,
13080,note_on,24,0,2,,,,,,,,0,61,80,,
13152,note_on,270,0,4,,,,,,,,0,53,0,,
13152,note_on,0,0,4,,,,,,,,0,46,0,,
13152,note_on,0,0,4,,,,,,,,0,49,0,,
13152,note_on,0,0,4,,,,,,,,0,41,0,,
13152,note_on,72,0,2,,,,,,,,0,61,0,,
13170,note_on,18,0,2,,,,,,,,0,61,80,,
13194,note_on,24,0,2,,,,,,,,0,61,0,,
13200,note_on,6,0,2,,,,,,,,0,66,80,,
13296,note_on,96,0,2,,,,,,,,0,66,0,,
13320,note_on,24,0,2,,,,,,,,0,65,80,,
13416,note_on,96,0,2,,,,,,,,0,65,0,,
13440,note_on,24,0,2,,,,,,,,0,63,80,,
13536,note_on,96,0,2,,,,,,,,0,63,0,,
13560,note_on,24,0,2,,,,,,,,0,61,80,,
13656,note_on,96,0,2,,,,,,,,0,61,0,,
13680,note_on,24,0,2,,,,,,,,0,60,80,,
13776,note_on,96,0,2,,,,,,,,0,60,0,,
13800,note_on,24,0,2,,,,,,,,0,58,80,,
13896,note_on,96,0,2,,,,,,,,0,58,0,,
13920,time_signature,1920,1,0,6,4,24,8,,,,,,,,
13920,control_change,768,0,4,,,,,,,,0,,,64,0
13920,note_on,24,0,2,,,,,,,,0,58,80,,
13980,control_change,60,0,4,,,,,,,,0,,,64,127
14640,note_on,660,0,4,,,,,,,,0,46,80,,
14640,note_on,0,0,4,,,,,,,,0,49,80,,
14640,note_on,0,0,4,,,,,,,,0,55,80,,
14640,note_on,0,0,4,,,,,,,,0,41,80,,
14640,note_on,0,0,4,,,,,,,,0,52,80,,
15216,note_on,576,0,4,,,,,,,,0,41,0,,
15216,note_on,0,0,4,,,,,,,,0,55,0,,
15216,note_on,0,0,4,,,,,,,,0,52,0,,
15216,note_on,0,0,4,,,,,,,,0,49,0,,
15216,note_on,0,0,4,,,,,,,,0,46,0,,
15264,note_on,1344,0,2,,,,,,,,0,58,0,,
15300,note_on,36,0,2,,,,,,,,0,57,80,,
15337,control_change,121,0,4,,,,,,,,0,,,64,0
15348,note_on,48,0,2,,,,,,,,0,57,0,,
15360,note_on,0,0,4,,,,,,,,0,48,80,,
15360,control_change,23,0,4,,,,,,,,0,,,64,127
15360,note_on,12,0,2,,,,,,,,0,57,80,,
15360,note_on,0,0,4,,,,,,,,0,41,80,,
15360,note_on,0,0,4,,,,,,,,0,45,80,,
15375,note_on,15,0,2,,,,,,,,0,60,88,,
15375,note_on,0,0,2,,,,,,,,0,53,80,,
15840,control_change,480,0,4,,,,,,,,0,,,64,0
16128,note_on,288,0,4,,,,,,,,0,45,0,,
16128,note_on,0,0,4,,,,,,,,0,41,0,,
16128,note_on,0,0,4,,,,,,,,0,48,0,,
16161,note_on,786,0,2,,,,,,,,0,53,0,,
16161,note_on,0,0,2,,,,,,,,0,60,0,,
16161,note_on,0,0,2,,,,,,,,0,57,0,,
17040,note_on,9408,0,1,,,,,,,,0,73,80,,
17040,note_on,879,0,2,,,,,,,,0,61,72,,
17042,control_change,914,0,4,,,,,,,,0,,,64,127
17064,note_on,24,0,2,,,,,,,,0,61,0,,
17070,note_on,6,0,2,,,,,,,,0,65,72,,
17094,note_on,24,0,2,,,,,,,,0,65,0,,
17100,note_on,6,0,2,,,,,,,,0,61,72,,
17124,note_on,24,0,2,,,,,,,,0,61,0,,
17130,note_on,6,0,2,,,,,,,,0,65,72,,
17154,note_on,24,0,2,,,,,,,,0,65,0,,
17160,note_on,6,0,2,,,,,,,,0,61,72,,
17184,note_on,24,0,2,,,,,,,,0,61,0,,
17190,note_on,6,0,2,,,,,,,,0,65,72,,
17214,note_on,24,0,2,,,,,,,,0,65,0,,
17220,note_on,6,0,2,,,,,,,,0,61,72,,
17232,note_on,192,0,1,,,,,,,,0,73,0,,
17244,note_on,24,0,2,,,,,,,,0,61,0,,
17250,note_on,6,0,2,,,,,,,,0,65,72,,
17264,control_change,222,0,4,,,,,,,,0,,,64,0
17274,note_on,24,0,2,,,,,,,,0,65,0,,
17278,control_change,14,0,4,,,,,,,,0,,,64,127
17280,note_on,6,0,2,,,,,,,,0,61,72,,
17280,note_on,48,0,1,,,,,,,,0,72,80,,
17304,note_on,24,0,2,,,,,,,,0,61,0,,
17310,note_on,6,0,2,,,,,,,,0,65,72,,
17334,note_on,24,0,2,,,,,,,,0,65,0,,
17340,note_on,6,0,2,,,,,,,,0,61,72,,
17364,note_on,24,0,2,,,,,,,,0,61,0,,
17370,note_on,6,0,2,,,,,,,,0,65,72,,
17394,note_on,24,0,2,,,,,,,,0,65,0,,
17400,note_on,6,0,2,,,,,,,,0,61,72,,
17424,note_on,24,0,2,,,,,,,,0,61,0,,
17430,note_on,6,0,2,,,,,,,,0,65,72,,
17454,note_on,24,0,2,,,,,,,,0,65,0,,
17460,note_on,6,0,2,,,,,,,,0,61,72,,
17472,note_on,192,0,1,,,,,,,,0,72,0,,
17484,note_on,24,0,2,,,,,,,,0,61,0,,
17490,note_on,6,0,2,,,,,,,,0,65,72,,
17504,control_change,226,0,4,,,,,,,,0,,,64,0
17514,note_on,24,0,2,,,,,,,,0,65,0,,
17520,note_on,48,0,1,,,,,,,,0,70,80,,
17520,note_on,6,0,2,,,,,,,,0,61,72,,
17536,control_change,32,0,4,,,,,,,,0,,,64,127
17544,note_on,24,0,2,,,,,,,,0,61,0,,
17550,note_on,6,0,2,,,,,,,,0,65,72,,
17574,note_on,24,0,2,,,,,,,,0,65,0,,
17580,note_on,6,0,2,,,,,,,,0,61,72,,
17604,note_on,24,0,2,,,,,,,,0,61,0,,
17610,note_on,6,0,2,,,,,,,,0,65,72,,
17634,note_on,24,0,2,,,,,,,,0,65,0,,
17640,note_on,6,0,2,,,,,,,,0,61,72,,
17664,note_on,24,0,2,,,,,,,,0,61,0,,
17670,note_on,6,0,2,,,,,,,,0,65,72,,
17694,note_on,24,0,2,,,,,,,,0,65,0,,
17700,note_on,6,0,2,,,,,,,,0,61,72,,
17712,note_on,192,0,1,,,,,,,,0,70,0,,
17724,note_on,24,0,2,,,,,,,,0,61,0,,
17730,note_on,6,0,2,,,,,,,,0,65,72,,
17737,control_change,201,0,4,,,,,,,,0,,,64,0
17754,note_on,24,0,2,,,,,,,,0,65,0,,
17758,control_change,21,0,4,,,,,,,,0,,,64,127
17760,note_on,6,0,2,,,,,,,,0,61,72,,
17760,note_on,48,0,1,,,,,,,,0,69,80,,
17784,note_on,24,0,2,,,,,,,,0,61,0,,
17790,note_on,6,0,2,,,,,,,,0,65,72,,
17814,note_on,24,0,2,,,,,,,,0,65,0,,
17820,note_on,6,0,2,,,,,,,,0,61,72,,
17844,note_on,24,0,2,,,,,,,,0,61,0,,
17850,note_on,6,0,2,,,,,,,,0,65,72,,
17874,note_on,24,0,2,,,,,,,,0,65,0,,
17880,note_on,6,0,2,,,,,,,,0,61,72,,
17904,note_on,24,0,2,,,,,,,,0,61,0,,
17910,note_on,6,0,2,,,,,,,,0,65,72,,
17934,note_on,24,0,2,,,,,,,,0,65,0,,
17940,note_on,6,0,2,,,,,,,,0,61,72,,
17952,note_on,192,0,1,,,,,,,,0,69,0,,
17964,note_on,24,0,2,,,,,,,,0,61,0,,
17970,note_on,6,0,2,,,,,,,,0,65,72,,
17994,note_on,24,0,2,,,,,,,,0,65,0,,
18000,note_on,48,0,1,,,,,,,,0,70,80,,
18000,note_on,6,0,2,,,,,,,,0,61,72,,
18009,control_change,251,0,4,,,,,,,,0,,,64,0
18024,note_on,24,0,2,,,,,,,,0,61,0,,
18028,control_change,19,0,4,,,,,,,,0,,,64,127
18030,note_on,6,0,2,,,,,,,,0,65,72,,
18054,note_on,24,0,2,,,,,,,,0,65,0,,
18060,note_on,6,0,2,,,,,,,,0,61,72,,
18084,note_on,24,0,2,,,,,,,,0,61,0,,
18090,note_on,6,0,2,,,,,,,,0,65,72,,
18114,note_on,24,0,2,,,,,,,,0,65,0,,
18120,note_on,6,0,2,,,,,,,,0,61,72,,
18144,note_on,24,0,2,,,,,,,,0,61,0,,
18150,note_on,6,0,2,,,,,,,,0,65,72,,
18174,note_on,24,0,2,,,,,,,,0,65,0,,
18180,note_on,6,0,2,,,,,,,,0,61,72,,
18192,note_on,192,0,1,,,,,,,,0,70,0,,
18204,note_on,24,0,2,,,,,,,,0,61,0,,
18210,note_on,6,0,2,,,,,,,,0,65,72,,
18234,note_on,24,0,2,,,,,,,,0,65,0,,
18240,note_on,6,0,2,,,,,,,,0,63,72,,
18240,control_change,212,0,4,,,,,,,,0,,,64,0
18240,note_on,48,0,1,,,,,,,,0,75,80,,
18259,control_change,6307,0,3,,,,,,,,0,,,64,127
18264,note_on,24,0,2,,,,,,,,0,63,0,,
18270,note_on,6,0,2,,,,,,,,0,66,72,,
18294,note_on,24,0,2,,,,,,,,0,66,0,,
18300,note_on,6,0,2,,,,,,,,0,63,72,,
18324,note_on,24,0,2,,,,,,,,0,63,0,,
18330,note_on,6,0,2,,,,,,,,0,66,72,,
18354,note_on,24,0,2,,,,,,,,0,66,0,,
18360,note_on,6,0,2,,,,,,,,0,63,72,,
18384,note_on,24,0,2,,,,,,,,0,63,0,,
18390,note_on,6,0,2,,,,,,,,0,66,72,,
18414,note_on,24,0,2,,,,,,,,0,66,0,,
18420,note_on,6,0,2,,,,,,,,0,63,72,,
18444,note_on,24,0,2,,,,,,,,0,63,0,,
18450,note_on,6,0,2,,,,,,,,0,66,72,,
18474,note_on,24,0,2,,,,,,,,0,66,0,,
18478,control_change,219,0,3,,,,,,,,0,,,64,0
18480,note_on,6,0,2,,,,,,,,0,63,72,,
18480,note_on,2,0,3,,,,,,,,0,59,80,,
18503,control_change,23,0,3,,,,,,,,0,,,64,127
18504,note_on,24,0,2,,,,,,,,0,63,0,,
18510,note_on,6,0,2,,,,,,,,0,66,72,,
18534,note_on,24,0,2,,,,,,,,0,66,0,,
18540,note_on,6,0,2,,,,,,,,0,63,72,,
18564,note_on,24,0,2,,,,,,,,0,63,0,,
18570,note_on,6,0,2,,,,,,,,0,66,72,,
18594,note_on,24,0,2,,,,,,,,0,66,0,,
18600,note_on,6,0,2,,,,,,,,0,63,72,,
18624,note_on,24,0,2,,,,,,,,0,63,0,,
18630,note_on,6,0,2,,,,,,,,0,66,72,,
18654,note_on,24,0,2,,,,,,,,0,66,0,,
18660,note_on,6,0,2,,,,,,,,0,63,72,,
18672,note_on,169,0,3,,,,,,,,0,59,0,,
18684,note_on,24,0,2,,,,,,,,0,63,0,,
18690,note_on,6,0,2,,,,,,,,0,66,72,,
18714,note_on,24,0,2,,,,,,,,0,66,0,,
18716,control_change,44,0,3,,,,,,,,0,,,64,0
18720,note_on,4,0,3,,,,,,,,0,58,80,,
18720,note_on,6,0,2,,,,,,,,0,63,72,,
18741,control_change,21,0,3,,,,,,,,0,,,64,127
18744,note_on,24,0,2,,,,,,,,0,63,0,,
18750,note_on,6,0,2,,,,,,,,0,66,72,,
18774,note_on,24,0,2,,,,,,,,0,66,0,,
18780,note_on,6,0,2,,,,,,,,0,63,72,,
18804,note_on,24,0,2,,,,,,,,0,63,0,,
18810,note_on,6,0,2,,,,,,,,0,66,72,,
18834,note_on,24,0,2,,,,,,,,0,66,0,,
18840,note_on,6,0,2,,,,,,,,0,63,72,,
18864,note_on,24,0,2,,,,,,,,0,63,0,,
18870,note_on,6,0,2,,,,,,,,0,66,72,,
18894,note_on,24,0,2,,,,,,,,0,66,0,,
18900,note_on,6,0,2,,,,,,,,0,63,72,,
18912,note_on,171,0,3,,,,,,,,0,58,0,,
18924,note_on,24,0,2,,,,,,,,0,63,0,,
18930,note_on,6,0,2,,,,,,,,0,66,72,,
18954,note_on,24,0,2,,,,,,,,0,66,0,,
18955,control_change,43,0,3,,,,,,,,0,,,64,0
18960,note_on,5,0,3,,,,,,,,0,57,80,,
18960,note_on,6,0,2,,,,,,,,0,63,72,,
18979,control_change,19,0,3,,,,,,,,0,,,64,127
18984,note_on,24,0,2,,,,,,,,0,63,0,,
18990,note_on,6,0,2,,,,,,,,0,66,72,,
19014,note_on,24,0,2,,,,,,,,0,66,0,,
19020,note_on,6,0,2,,,,,,,,0,63,72,,
19044,note_on,24,0,2,,,,,,,,0,63,0,,
19050,note_on,6,0,2,,,,,,,,0,66,72,,
19074,note_on,24,0,2,,,,,,,,0,66,0,,
19080,note_on,6,0,2,,,,,,,,0,63,72,,
19104,note_on,24,0,2,,,,,,,,0,63,0,,
19110,note_on,6,0,2,,,,,,,,0,66,72,,
19134,note_on,24,0,2,,,,,,,,0,66,0,,
19140,note_on,6,0,2,,,,,,,,0,63,72,,
19152,note_on,173,0,3,,,,,,,,0,57,0,,
19164,note_on,24,0,2,,,,,,,,0,63,0,,
19170,note_on,6,0,2,,,,,,,,0,66,72,,
19194,note_on,24,0,2,,,,,,,,0,66,0,,
19196,control_change,44,0,3,,,,,,,,0,,,64,0
19200,note_on,6,0,2,,,,,,,,0,63,72,,
19200,note_on,4,0,3,,,,,,,,0,58,80,,
19223,control_change,23,0,3,,,,,,,,0,,,64,127
19224,note_on,24,0,2,,,,,,,,0,63,0,,
19230,note_on,6,0,2,,,,,,,,0,66,72,,
19254,note_on,24,0,2,,,,,,,,0,66,0,,
19260,note_on,6,0,2,,,,,,,,0,63,72,,
19284,note_on,24,0,2,,,,,,,,0,63,0,,
19290,note_on,6,0,2,,,,,,,,0,66,72,,
19314,note_on,24,0,2,,,,,,,,0,66,0,,
19320,note_on,6,0,2,,,,,,,,0,63,72,,
19344,note_on,24,0,2,,,,,,,,0,63,0,,
19350,note_on,6,0,2,,,,,,,,0,66,72,,
19374,note_on,24,0,2,,,,,,,,0,66,0,,
19380,note_on,6,0,2,,,,,,,,0,63,72,,
19392,note_on,169,0,3,,,,,,,,0,58,0,,
19392,note_on,1152,0,1,,,,,,,,0,75,0,,
19404,note_on,24,0,2,,,,,,,,0,63,0,,
19410,note_on,6,0,2,,,,,,,,0,66,72,,
19434,note_on,24,0,2,,,,,,,,0,66,0,,
19438,control_change,46,0,3,,,,,,,,0,,,64,0
19440,note_on,6,0,2,,,,,,,,0,63,72,,
19440,note_on,2,0,3,,,,,,,,0,54,80,,
19458,control_change,18,0,3,,,,,,,,0,,,64,127
19464,note_on,24,0,2,,,,,,,,0,63,0,,
19470,note_on,6,0,2,,,,,,,,0,66,72,,
19494,note_on,24,0,2,,,,,,,,0,66,0,,
19500,note_on,6,0,2,,,,,,,,0,63,72,,
19524,note_on,24,0,2,,,,,,,,0,63,0,,
19530,note_on,6,0,2,,,,,,,,0,66,72,,
19554,note_on,24,0,2,,,,,,,,0,66,0,,
19560,note_on,6,0,2,,,,,,,,0,63,72,,
19584,note_on,24,0,2,,,,,,,,0,63,0,,
19590,note_on,6,0,2,,,,,,,,0,66,72,,
19614,note_on,24,0,2,,,,,,,,0,66,0,,
19620,note_on,6,0,2,,,,,,,,0,63,72,,
19632,note_on,174,0,3,,,,,,,,0,54,0,,
19644,note_on,24,0,2,,,,,,,,0,63,0,,
19650,note_on,6,0,2,,,,,,,,0,66,72,,
19674,note_on,24,0,2,,,,,,,,0,66,0,,
19680,control_change,0,0,3,,,,,,,,0,,,64,0
19680,note_on,6,0,2,,,,,,,,0,63,80,,
19680,control_change,288,0,1,,,,,,,,0,,,64,127
19680,note_on,48,0,3,,,,,,,,0,46,80,,
19704,note_on,24,0,2,,,,,,,,0,63,0,,
19710,note_on,6,0,2,,,,,,,,0,66,80,,
19734,note_on,24,0,2,,,,,,,,0,66,0,,
19740,note_on,6,0,2,,,,,,,,0,63,80,,
19764,note_on,24,0,2,,,,,,,,0,63,0,,
19770,note_on,6,0,2,,,,,,,,0,66,80,,
19794,note_on,24,0,2,,,,,,,,0,66,0,,
19800,note_on,6,0,2,,,,,,,,0,63,80,,
19824,note_on,24,0,2,,,,,,,,0,63,0,,
19830,note_on,6,0,2,,,,,,,,0,66,80,,
19854,note_on,24,0,2,,,,,,,,0,66,0,,
19860,note_on,6,0,2,,,,,,,,0,63,80,,
19872,note_on,192,0,3,,,,,,,,0,46,0,,
19884,note_on,24,0,2,,,,,,,,0,63,0,,
19890,note_on,6,0,2,,,,,,,,0,66,80,,
19914,note_on,24,0,2,,,,,,,,0,66,0,,
19915,control_change,235,0,1,,,,,,,,0,,,64,0
19920,note_on,6,0,2,,,,,,,,0,63,80,,
19920,note_on,5,0,1,,,,,,,,0,78,80,,
19931,control_change,11,0,1,,,,,,,,0,,,64,127
19944,note_on,24,0,2,,,,,,,,0,63,0,,
19950,note_on,6,0,2,,,,,,,,0,66,80,,
19974,note_on,24,0,2,,,,,,,,0,66,0,,
19980,note_on,6,0,2,,,,,,,,0,63,80,,
20004,note_on,24,0,2,,,,,,,,0,63,0,,
20010,note_on,6,0,2,,,,,,,,0,66,80,,
20034,note_on,24,0,2,,,,,,,,0,66,0,,
20040,note_on,6,0,2,,,,,,,,0,63,80,,
20064,note_on,24,0,2,,,,,,,,0,63,0,,
20070,note_on,6,0,2,,,,,,,,0,66,80,,
20094,note_on,24,0,2,,,,,,,,0,66,0,,
